ID,ram,touch_screen,wifi,os
129,550,1,0,ios
130,971,0,0,ios
131,3984,1,1,android
132,2973,0,1,android
133,2019,1,1,ios
134,1587,0,0,ios
135,1870,0,0,ios
136,1352,1,0,ios
137,570,1,0,ios
138,546,1,1,ios
139,3624,1,0,android
140,2944,1,1,android
141,1209,1,0,ios
142,2752,1,1,android
143,3868,1,1,android
144,3087,1,1,android
145,947,1,1,ios
146,1484,0,0,ios
147,347,0,1,ios
148,3227,0,0,android
149,3299,0,1,android
150,1028,0,0,ios
151,714,0,1,ios
152,2641,0,0,android
153,1229,0,0,ios
154,2622,0,1,android
155,929,1,1,ios
156,1211,0,1,ios
157,1653,0,0,android
158,511,1,0,ios
159,3034,0,0,android
160,1414,0,1,ios
161,2438,1,1,android
162,3744,0,1,android
163,1377,1,1,ios
164,3520,0,0,android
165,3796,1,1,android
166,1699,1,1,ios
167,336,1,1,ios
168,1095,1,0,ios
169,325,0,1,ios
170,1223,0,0,ios
171,1649,1,0,ios
172,1898,1,0,ios
173,2609,0,0,android
174,2265,1,1,android
175,2775,1,1,android
176,1445,1,1,ios
177,2614,0,0,android
178,356,0,0,ios
179,523,1,1,ios
180,3745,1,0,android
181,1229,1,1,ios
182,1402,1,0,ios
183,2085,0,0,ios
184,587,1,1,ios
185,2457,0,1,android
186,2030,0,0,android
187,816,0,0,ios
188,1667,0,0,ios
189,2958,1,0,android
190,3705,0,0,android
191,2800,1,1,android
192,3773,1,1,android
193,2050,1,0,ios
194,1754,0,1,ios
195,1904,1,1,ios
196,2705,1,0,ios
197,3537,0,1,android
198,1370,0,1,ios
199,1222,0,0,ios
200,3102,0,0,android
201,2268,1,0,android
202,2648,1,1,ios
203,2173,1,0,android
204,3162,0,0,android
205,1368,0,1,ios
206,2746,0,1,android
207,619,1,1,ios
208,724,0,1,ios
209,912,1,0,ios
210,2784,1,1,android
211,793,1,0,ios
212,560,1,0,ios
213,312,0,1,ios
214,545,1,1,ios
215,1591,0,1,ios
216,2746,1,0,android
217,893,1,0,ios
218,2514,1,1,ios
219,1032,1,1,ios
220,819,1,1,ios
221,3672,0,1,android
222,3833,1,0,android
223,1482,1,0,android
224,2043,0,0,ios
225,1229,1,0,ios
226,1816,0,1,ios
227,2166,0,0,android
228,2469,1,1,android
229,2575,1,1,android
230,1375,0,0,ios
231,1732,0,1,ios
232,673,0,0,ios
233,2301,0,0,ios
234,2676,0,0,android
235,1781,0,0,android
236,2248,0,0,android
237,921,0,0,ios
238,391,1,1,ios
239,1719,1,1,ios
240,3262,0,0,android
241,1947,1,1,ios
242,2693,1,1,android
243,441,1,0,ios
244,1886,1,1,ios
245,1267,1,0,ios
246,687,1,1,ios
247,2890,0,0,android
248,1737,0,1,ios
249,887,0,0,ios
250,398,1,1,ios
251,2389,0,1,android
252,3431,1,1,android
253,3601,0,0,android
254,2459,1,0,ios
255,3230,1,0,android
256,3646,1,1,android
257,2200,1,0,ios
258,3862,0,0,android
259,3077,0,0,android
260,621,1,1,ios
261,2372,1,0,android
262,2574,1,0,ios
263,2857,1,1,ios
264,3143,1,0,ios
265,3197,0,1,android
266,2727,0,0,android
267,1519,0,1,ios
268,2438,0,0,android
269,2674,0,1,android
270,2107,0,0,ios
271,2262,1,0,android
272,815,1,1,ios
273,2829,1,1,android
274,3022,0,1,android
275,2573,0,1,android
276,2678,0,1,android
277,1282,1,1,ios
278,568,0,0,ios
279,2074,1,0,ios
280,2227,0,1,ios
281,1080,0,1,ios
282,2867,1,0,android
283,1075,1,0,ios
284,3063,1,0,android
285,2479,1,0,ios
286,2394,1,0,ios
287,2814,0,0,ios
288,2094,0,0,ios
289,2315,1,0,android
290,2519,0,1,android
291,735,0,1,ios
292,1891,0,1,ios
293,1386,1,1,ios
294,3260,0,0,android
295,2022,0,1,ios
296,1716,0,0,ios
297,3317,1,1,android
298,1454,1,0,ios
299,2290,1,0,ios
300,3940,1,1,android
301,461,0,1,ios
302,2219,0,1,android
303,470,0,0,ios
304,2495,1,1,android
305,2944,1,1,android
306,2361,0,1,android
307,1783,0,1,android
308,2832,1,1,android
309,931,1,0,ios
310,1344,0,0,ios
311,3916,0,1,android
312,1882,0,0,ios
313,2865,1,1,android
314,757,1,1,ios
315,3469,0,1,android
316,2399,1,1,ios
317,3300,0,0,android
318,2719,1,1,android
319,3012,0,0,android
320,2836,0,0,android
321,2385,0,0,android
322,594,1,1,ios
323,2968,1,0,android
324,3762,0,0,android
325,892,1,0,ios
326,467,1,1,ios
327,345,0,0,ios
328,3033,1,1,android
329,2110,0,1,ios
330,3105,1,1,android
331,874,1,0,ios
332,3681,1,1,android
333,3865,0,1,android
334,737,1,0,ios
335,3153,1,0,android
336,2800,0,1,android
337,315,1,0,ios
338,1412,1,1,ios
339,2286,0,0,android
340,2392,0,1,android
341,1857,1,1,ios
342,1419,1,1,ios
343,3305,0,0,android
344,959,1,0,ios
345,2635,0,1,android
346,1754,0,1,ios
347,2563,0,0,android
348,1936,1,1,ios
349,1869,1,1,ios
350,3637,0,1,android
351,896,0,0,ios
352,2349,0,1,ios
353,774,1,0,ios
354,3397,0,0,android
355,485,1,1,ios
356,3964,1,0,android
357,1887,1,1,ios
358,2977,1,1,android
359,2114,1,1,android
360,1542,0,1,ios
361,3038,0,1,android
362,2481,0,0,android
363,841,0,0,ios
364,3565,0,1,android
365,1958,1,1,android
366,2454,1,1,android
367,3392,1,1,android
368,262,1,0,ios
369,530,0,1,ios
370,3703,0,1,android
371,2562,0,0,android
372,574,1,0,ios
373,2632,0,1,android
374,259,1,1,ios
375,688,1,0,ios
376,2554,1,0,android
377,3859,1,0,android
378,2977,1,1,android
379,571,1,0,ios
380,402,0,1,ios
381,878,1,1,ios
382,2130,1,0,android
383,3260,0,1,android
384,454,1,0,ios
385,2638,1,1,android
386,2819,0,1,android
387,1464,1,1,ios
388,1824,1,0,ios
389,876,1,0,ios
390,2706,1,0,android
391,659,1,1,ios
392,455,0,1,ios
393,2378,0,0,android
394,2278,1,0,ios
395,3436,1,1,android
396,3424,1,0,android
397,401,0,1,ios
398,681,1,1,ios
399,3212,0,1,android
400,3105,0,0,android
401,2036,1,0,ios
402,3153,1,0,android
403,1642,1,1,ios
404,509,0,0,ios
405,3465,1,0,android
406,3900,0,1,android
407,1105,1,1,ios
408,2064,0,0,ios
409,3117,0,1,android
410,1142,0,1,ios
411,1060,1,1,ios
412,2381,0,0,android
413,3366,0,1,android
414,1339,0,1,ios
415,2560,0,0,android
416,285,0,1,ios
417,2476,0,0,ios
418,1862,0,1,ios
419,3488,1,1,android
420,3178,0,1,android
421,733,1,0,ios
422,756,0,0,ios
423,3622,1,1,android
424,1277,0,0,ios
425,3703,1,0,android
426,1905,1,1,ios
427,2636,1,0,android
428,2014,0,0,android
429,3056,0,0,android
430,465,1,0,ios
431,3869,1,1,android
432,1108,0,1,ios
433,1906,0,0,ios
434,851,1,1,ios
435,3142,0,1,android
436,1300,0,1,ios
437,1430,0,0,android
438,362,1,1,ios
439,2456,1,1,android
440,2360,0,0,ios
441,3700,1,0,ios
442,2620,0,0,android
443,437,0,0,ios
444,3774,0,0,android
445,1218,1,0,ios
446,696,1,1,ios
447,3407,0,0,android
448,3902,0,0,android
449,2086,1,1,ios
450,1356,0,1,ios
451,1704,1,1,ios
452,3571,1,1,android
453,2132,0,1,ios
454,3209,1,1,android
455,2096,0,0,ios
456,1273,0,0,ios
457,3623,1,0,android
458,368,0,0,ios
459,854,0,1,ios
460,3646,0,1,android
461,3130,0,1,android
462,3784,1,0,android
463,3885,1,0,android
464,1494,1,1,ios
465,2973,1,1,android
466,1471,1,0,ios
467,2001,1,1,ios
468,1486,0,0,ios
469,1321,1,1,ios
470,1877,0,1,ios
471,3499,1,1,android
472,2124,1,0,ios
473,1221,0,1,ios
474,2316,0,1,android
475,1068,1,0,ios
476,1930,0,1,ios
477,1316,1,0,ios
478,1742,0,0,ios
479,3265,0,0,android
480,2700,1,1,android
481,2115,0,0,ios
482,3915,0,1,ios
483,3144,0,0,ios
484,1571,0,0,android
485,2253,0,0,ios
486,1433,0,0,ios
487,2583,1,1,android
488,1817,0,0,ios
489,2915,1,1,android
490,3340,1,1,android
491,2790,1,0,android
492,577,1,0,ios
493,3220,1,0,android
494,3488,1,0,android
495,1277,0,1,ios
496,3593,1,0,android
497,2736,1,0,android
498,2311,1,0,android
499,1464,1,1,ios
500,1355,1,0,ios
501,2382,0,1,android
502,1886,0,1,ios
503,832,0,0,ios
504,751,0,1,ios
505,436,0,0,ios
506,722,1,0,ios
507,1075,1,0,ios
508,2802,1,0,android
509,1780,0,0,ios
510,1247,0,0,ios
511,3066,1,0,android
512,403,0,0,ios
513,2518,1,0,android
514,1069,0,0,ios
515,2651,0,1,android
516,2974,0,1,android
517,657,1,0,ios
518,3372,1,0,android
519,1464,1,0,ios
520,1326,1,0,ios
521,3393,0,0,android
522,323,0,1,ios
523,1628,1,0,ios
524,2610,1,0,android
525,3721,1,1,android
526,763,1,1,ios
527,792,0,1,ios
528,1568,0,0,ios
529,1276,1,0,ios
530,3472,1,1,android
531,2520,0,1,android
532,3423,0,0,android
533,258,0,0,ios
534,1868,0,0,android
535,2171,0,1,ios
536,780,0,0,ios
537,712,0,0,ios
538,1012,1,1,ios
539,318,0,0,ios
540,3948,1,1,android
541,629,0,0,ios
542,1161,0,0,ios
543,1403,0,0,ios
544,3707,1,0,android
545,1305,0,1,ios
546,2926,1,1,android
547,2674,0,1,android
548,471,0,1,ios
549,1724,0,1,ios
550,1220,1,0,ios
551,2754,1,1,android
552,594,0,1,ios
553,1005,0,1,ios
554,2439,1,1,ios
555,2302,1,1,ios
556,1083,1,0,ios
557,2219,1,1,android
558,1571,0,0,android
559,2107,1,0,android
560,593,1,1,ios
561,857,1,0,ios
562,3518,1,1,android
563,1284,0,1,ios
564,545,0,0,ios
565,3566,0,1,android
566,2821,0,1,android
567,3442,1,0,android
568,1309,0,0,ios
569,1179,0,1,ios
570,1713,0,0,ios
571,1663,0,1,ios
572,1812,1,1,android
573,1384,1,1,ios
574,1348,1,1,ios
575,3957,0,0,android
576,1212,0,0,ios
577,3925,1,1,android
578,348,0,1,ios
579,1382,1,0,ios
580,980,0,1,ios
581,838,1,0,ios
582,378,1,0,ios
583,909,0,1,ios
584,3632,1,0,android
585,3396,0,0,android
586,1861,1,0,ios
587,348,1,1,ios
588,2528,0,0,android
589,2190,1,0,ios
590,663,1,1,ios
591,961,0,1,ios
592,1280,0,1,ios
593,2189,1,0,android
594,531,1,1,ios
595,2331,0,1,ios
596,794,1,1,ios
597,2644,1,1,android
598,1666,1,1,ios
599,2157,0,0,ios
600,1196,0,1,ios
601,2072,1,0,android
602,1590,0,0,ios
603,2916,1,1,android
604,3707,0,1,android
605,726,1,0,ios
606,3577,1,0,android
607,2627,0,1,android
608,685,1,1,ios
609,1693,1,0,ios
610,2137,0,1,android
611,3696,0,1,android
612,3771,0,1,android
613,1342,1,1,ios
614,1379,0,1,ios
615,1164,1,0,ios
616,908,0,1,ios
617,1019,1,0,ios
618,3685,0,0,android
619,1470,0,0,ios
620,2299,1,1,android
621,999,1,0,ios
622,3011,1,0,android
623,3142,0,1,android
624,1543,1,0,ios
625,3692,1,0,android
626,2753,0,1,ios
627,2156,1,1,ios
628,2637,0,0,android
629,331,0,0,ios
630,1214,1,0,ios
631,2248,1,1,android
632,3073,1,1,android
633,422,0,0,ios
634,2293,1,0,ios
635,3958,1,0,android
636,432,1,1,ios
637,1152,0,0,ios
638,1303,0,1,ios
639,797,1,0,ios
640,298,1,0,ios
641,3847,0,1,android
642,2110,1,1,ios
643,1921,1,0,android
644,2423,0,0,android
645,1658,1,1,android
646,2361,0,0,ios
647,1380,0,0,ios
648,3892,1,1,android
649,315,0,0,ios
650,2289,1,1,ios
651,2182,1,0,android
652,2184,0,1,android
653,2872,0,1,android
654,2367,0,1,ios
655,1919,1,0,ios
656,3296,0,0,android
657,462,1,1,ios
658,1591,1,0,ios
659,1593,0,1,ios
660,2456,0,0,ios
661,2933,1,0,android
662,3154,0,0,android
663,3615,0,0,android
664,3563,0,0,android
665,1440,0,0,ios
666,1907,0,0,ios
667,324,1,1,ios
668,1404,1,1,ios
669,2738,0,0,android
670,2722,0,0,android
671,2294,0,1,android
672,1424,0,1,ios
673,1133,1,0,ios
674,555,0,1,ios
675,3785,0,1,android
676,3675,0,0,android
677,435,1,0,ios
678,3183,1,1,android
679,3495,1,0,android
680,1853,0,1,ios
681,2648,1,0,android
682,2647,1,0,android
683,702,1,1,ios
684,1836,0,0,android
685,3894,1,0,android
686,2944,0,1,ios
687,3424,1,0,android
688,2678,1,1,ios
689,2424,1,0,ios
690,2671,1,1,android
691,3078,0,1,android
692,2304,1,0,android
693,1146,1,0,ios
694,2335,0,1,ios
695,1422,1,0,ios
696,2096,0,0,android
697,1303,1,1,ios
698,1115,0,1,ios
699,456,1,0,ios
700,3396,0,0,android
701,2750,1,0,android
702,941,0,1,ios
703,2278,0,0,android
704,2273,0,1,android
705,2355,1,1,android
706,2328,0,0,android
707,2638,1,1,ios
708,558,0,0,ios
709,1345,0,1,ios
710,425,1,1,ios
711,2192,1,1,ios
712,3397,0,1,android
713,1208,1,0,ios
714,267,1,0,ios
715,3518,1,1,android
716,3122,0,1,android
717,1050,1,1,ios
718,3358,1,1,android
719,2929,0,0,android
720,624,0,0,ios
721,1598,1,0,ios
722,2052,1,0,android
723,1249,1,0,ios
724,412,0,0,ios
725,595,0,0,ios
726,263,0,0,ios
727,2577,1,0,android
728,639,0,1,ios
729,3206,1,0,android
730,1550,1,0,ios
731,1646,1,0,ios
732,1930,1,0,android
733,3695,0,0,android
734,3235,0,1,android
735,2334,1,0,android
736,1998,0,0,ios
737,2258,0,0,android
738,1869,1,1,ios
739,1825,0,1,android
740,3946,1,1,android
741,436,1,1,ios
742,2678,0,0,android
743,3887,0,1,android
744,1813,1,1,ios
745,817,1,1,ios
746,3614,0,0,android
747,2013,1,0,ios
748,543,0,1,ios
749,3400,1,1,android
750,2623,0,0,ios
751,2700,0,0,android
752,1400,1,0,ios
753,3127,0,0,android
754,2803,1,1,android
755,2518,1,1,ios
756,3564,1,0,ios
757,2515,0,1,ios
758,3654,1,1,ios
759,3930,1,1,ios
760,3476,1,0,android
761,3242,0,1,android
762,2666,1,0,android
763,1695,0,1,android
764,3510,0,1,android
765,3438,0,0,android
766,2033,1,0,ios
767,1017,0,0,ios
768,1686,0,1,ios
769,862,0,0,ios
770,957,1,0,ios
771,3494,0,1,android
772,3083,1,1,android
773,1656,1,1,ios
774,313,1,0,ios
775,3282,1,1,android
776,3629,1,1,android
777,1687,1,1,ios
778,1149,1,0,ios
779,3899,0,1,android
780,1783,1,0,android
781,1629,1,0,ios
782,2528,1,0,android
783,3256,1,0,android
784,2341,0,1,ios
785,2785,0,0,android
786,3761,0,0,android
787,1513,0,1,ios
788,2240,1,0,ios
789,820,1,1,ios
790,1875,1,1,ios
791,920,1,1,ios
792,3615,0,1,android
793,1412,0,1,ios
794,361,1,0,ios
795,1540,1,0,ios
796,1077,0,1,ios
797,3610,0,1,android
798,512,0,0,ios
799,3024,0,1,android
800,1610,0,0,ios
801,2201,0,0,ios
802,3338,1,1,android
803,3473,0,1,android
804,2203,1,1,ios
805,940,1,0,ios
806,1155,1,1,ios
807,3872,0,1,android
808,1882,0,1,android
809,1798,0,0,ios
810,2598,0,0,android
811,1567,1,0,ios
812,1491,0,0,ios
813,2003,0,0,android
814,3905,0,0,android
815,291,1,1,ios
816,1693,0,1,ios
817,1788,0,1,ios
818,3322,0,1,android
819,1751,0,1,android
820,1641,1,0,ios
821,2854,0,1,android
822,3115,0,0,ios
823,3259,0,1,android
824,1612,1,0,android
825,2319,0,0,ios
826,1258,0,0,ios
827,1543,0,1,ios
828,3991,0,0,android
829,3555,0,0,android
830,3411,0,0,android
831,524,0,0,ios
832,3541,0,1,android
833,1998,0,0,ios
834,3437,0,0,android
835,1637,0,1,ios
836,3064,0,0,android
837,2855,1,1,android
838,1393,1,1,ios
839,1633,0,0,android
840,2392,0,1,ios
841,3284,0,1,android
842,464,0,1,ios
843,1234,1,0,ios
844,292,1,1,ios
845,2521,0,0,android
846,2658,0,0,android
847,587,1,1,ios
848,2190,0,1,android
849,879,0,0,ios
850,1743,1,0,android
851,1181,1,0,ios
852,3330,0,1,android
853,3564,0,0,android
854,562,1,1,ios
855,1659,1,0,ios
856,1816,0,1,android
857,1338,1,1,ios
858,2992,1,0,android
859,315,1,0,ios
860,3249,0,1,android
861,3242,1,0,android
862,2725,0,0,android
863,586,0,1,ios
864,2454,1,0,android
865,804,1,1,ios
866,2460,0,0,android
867,1295,0,1,ios
868,2625,1,0,android
869,1999,0,1,ios
870,2698,0,0,ios
871,3742,1,0,android
872,1193,0,1,ios
873,3511,1,1,android
874,885,1,0,ios
875,1044,0,0,ios
876,2548,0,1,android
877,2940,0,1,android
878,3966,1,1,ios
879,3484,0,0,android
880,1246,1,0,ios
881,2757,1,0,android
882,2378,0,0,ios
883,1794,1,1,ios
884,3933,0,1,android
885,1637,0,1,ios
886,783,1,0,ios
887,3094,0,0,android
888,1774,0,0,ios
889,256,0,1,ios
890,1365,0,1,ios
891,2339,1,0,android
892,2049,1,0,ios
893,3241,1,0,android
894,867,1,0,ios
895,2175,0,1,ios
896,3497,1,0,android
897,609,0,1,ios
898,3285,1,0,android
899,3684,0,0,ios
900,3586,0,1,ios
901,2322,0,1,ios
902,354,1,1,ios
903,3204,0,1,android
904,1400,0,1,ios
905,2308,1,0,ios
906,1082,0,1,ios
907,3104,0,0,android
908,2847,0,1,android
909,2256,1,1,android
910,1113,0,1,ios
911,3210,1,1,android
912,3990,1,1,android
913,984,0,1,ios
914,3117,0,0,android
915,1622,1,1,android
916,2967,1,1,android
917,1037,0,1,ios
918,2908,0,1,android
919,1167,0,0,ios
920,2715,1,0,android
921,1734,0,1,ios
922,2259,1,1,android
923,2921,1,0,android
924,1244,1,0,ios
925,3132,1,1,android
926,2488,0,0,android
927,1052,0,0,ios
928,2927,0,0,android
929,2090,1,0,ios
930,2131,0,1,android
931,3362,0,0,android
932,1053,1,1,ios
933,1799,1,0,ios
934,3124,0,0,android
935,1672,1,0,ios
936,1552,1,0,ios
937,1938,0,1,ios
938,3202,0,0,android
939,1302,0,0,ios
940,2296,1,0,ios
941,575,0,1,ios
942,2359,0,0,ios
943,3314,1,1,android
944,440,0,0,ios
945,2002,1,0,ios
946,3167,1,0,android
947,3480,1,1,android
948,595,0,1,ios
949,2466,1,1,android
950,1337,1,0,ios
951,1462,0,1,ios
952,503,1,0,ios
953,2066,0,0,ios
954,708,1,1,ios
955,2029,1,1,ios
956,308,1,1,ios
957,552,0,1,ios
958,2082,0,0,ios
959,3314,0,1,android
960,3996,1,1,android
961,1795,1,1,ios
962,594,0,1,ios
963,2473,0,1,android
964,690,0,0,ios
965,3845,1,1,android
966,2004,1,1,ios
967,2083,1,1,android
968,2661,1,0,android
969,1903,1,0,ios
970,2466,0,0,android
971,3779,1,1,android
972,3904,1,1,android
973,265,0,0,ios
974,1417,0,1,ios
975,1769,0,0,ios
976,2948,0,1,android
977,2572,0,1,android
978,3267,0,0,android
979,1459,1,0,ios
980,1633,1,1,android
981,2052,0,1,ios
982,1086,1,0,ios
983,2402,1,1,android
984,3376,1,0,android
985,1507,0,1,ios
986,641,0,1,ios
987,3451,1,1,android
988,1607,1,1,ios
989,3521,0,0,android
990,1241,0,0,ios
991,881,1,1,ios
992,2563,0,1,android
993,3033,1,0,android
994,769,0,1,ios
995,3454,0,1,android
996,819,0,0,ios
997,435,1,1,ios
998,586,1,1,ios
999,650,0,1,ios
1000,3038,0,0,android
1001,3736,0,0,android
1002,2948,1,0,android
1003,739,1,0,ios
1004,686,1,0,ios
1005,841,1,0,ios
1006,1183,0,0,ios
1007,3943,1,0,android
1008,1037,0,0,ios
1009,2633,0,0,android
1010,3911,0,0,android
1011,1958,0,0,ios
1012,3297,0,0,ios
1013,3141,1,1,android
1014,3351,0,1,android
1015,2355,1,1,android
1016,1308,1,0,ios
1017,991,0,0,ios
1018,3248,0,1,android
1019,1519,0,1,ios
1020,493,1,0,ios
1021,1747,1,0,ios
1022,2517,1,1,ios
1023,1389,1,1,ios
1024,2522,0,1,android
1025,1885,1,0,android
1026,704,1,1,ios
1027,953,1,1,ios
1028,3206,0,0,android
1029,928,0,1,ios
1030,2177,1,0,ios
1031,2610,1,1,android
1032,489,0,1,ios
1033,3839,0,1,android
1034,1861,1,1,ios
1035,299,1,0,ios
1036,340,0,0,ios
1037,3606,1,1,android
1038,799,0,1,ios
1039,2367,0,1,ios
1040,445,1,0,ios
1041,3927,0,0,android
1042,3756,1,1,android
1043,770,0,1,ios
1044,1641,0,0,ios
1045,2343,0,0,android
1046,2787,0,1,android
1047,2495,0,1,android
1048,3208,0,0,android
1049,1234,0,1,ios
1050,1069,0,0,ios
1051,3568,0,1,android
1052,3585,0,0,android
1053,1974,1,0,ios
1054,2419,0,0,android
1055,340,0,1,ios
1056,2282,1,0,ios
1057,298,1,0,ios
1058,968,0,0,ios
1059,2391,1,1,android
1060,1534,0,0,ios
1061,696,1,0,ios
1062,2782,0,0,android
1063,755,0,1,ios
1064,3746,1,0,android
1065,2651,0,0,ios
1066,1341,0,0,ios
1067,2651,1,1,android
1068,1824,1,1,ios
1069,1905,1,1,android
1070,1456,1,0,ios
1071,3155,1,1,android
1072,773,1,0,ios
1073,1829,0,0,android
1074,3883,0,1,android
1075,1675,0,1,ios
1076,1601,1,1,ios
1077,1958,1,0,ios
1078,2376,1,0,android
1079,1647,0,0,ios
1080,3548,1,1,android
1081,2694,0,1,android
1082,2195,0,1,android
1083,2506,0,0,android
1084,2073,1,0,android
1085,3767,0,1,android
1086,1150,0,0,ios
1087,841,0,0,ios
1088,1675,1,0,ios
1089,1301,1,0,ios
1090,1817,1,0,ios
1091,2321,1,0,android
1092,1974,1,1,ios
1093,3433,1,0,android
1094,1205,1,0,ios
1095,872,1,1,ios
1096,2052,1,1,ios
1097,3654,1,0,android
1098,1503,0,0,ios
1099,3104,0,0,android
1100,343,1,1,ios
1101,3430,1,1,android
1102,2470,0,0,android
1103,1396,1,1,ios
1104,2668,0,0,android
1105,1457,0,1,ios
1106,2452,0,0,android
1107,1871,0,1,ios
1108,1112,1,1,ios
1109,967,0,1,ios
1110,2498,0,1,android
1111,387,1,0,ios
1112,635,0,0,ios
1113,2711,1,0,android
1114,2023,1,0,android
1115,2215,1,1,ios
1116,824,0,0,ios
1117,3851,0,1,android
1118,2156,1,0,ios
1119,2885,0,1,android
1120,495,1,1,ios
1121,2358,1,0,android
1122,1744,0,0,ios
1123,1832,0,0,ios
1124,2016,1,1,ios
1125,1300,0,1,ios
1126,2313,1,0,android
1127,3248,1,1,android
1128,2216,0,0,ios
1129,3142,1,1,android
1130,1850,0,0,ios
1131,1424,1,0,ios
1132,1620,1,1,ios
1133,2592,0,0,ios
1134,296,0,0,ios
1135,3579,1,0,android
1136,1180,1,1,ios
1137,3962,1,1,android
1138,3978,1,0,android
1139,668,1,0,ios
1140,2032,1,1,android
1141,3057,1,0,android
1142,869,1,1,ios
1143,3919,1,1,android
