SquareMeters,NumberOfRooms,HasYard,NumPrevOwners,Attic,HasGuestRoom,category
3723,75,1.0,10.0,9834,3,Basic
28232,6,0.0,10.0,8322,1,Basic
46838,49,0.0,8.0,9273,6,Basic
90562,47,1.0,1.0,8224,4,Luxury
562,95,0.0,5.0,1092,10,Basic
5603,75,1.0,10.0,6398,5,Basic
61704,20,1.0,6.0,3805,6,Basic
49579,99,1.0,10.0,6666,8,Basic
59885,28,1.0,4.0,7183,3,Luxury
72109,81,1.0,8.0,1567,8,Basic
41965,87,0.0,4.0,7371,7,Basic
94216,32,1.0,9.0,4231,3,Basic
39166,68,0.0,5.0,5967,7,Basic
9923,41,0.0,10.0,1899,7,Basic
49374,38,0.0,6.0,5269,10,Basic
76316,99,0.0,1.0,262,2,Basic
26089,30,1.0,2.0,7946,9,Luxury
26089,30,1.0,2.0,7946,9,Basic
26089,2,0.0,3.0,2412,7,Luxury
26089,2,0.0,3.0,2412,7,Basic
98045,21,1.0,10.0,3182,3,Luxury
69594,47,0.0,3.0,128,5,Basic
56966,77,0.0,7.0,4039,2,Basic
64795,53,1.0,10.0,4387,7,Luxury
39574,37,1.0,1.0,4867,1,Basic
49014,54,0.0,3.0,5627,2,Basic
17034,50,1.0,2.0,5877,5,Luxury
18742,10,0.0,1.0,9056,6,Basic
98794,80,0.0,2.0,6710,8,Basic
72207,46,1.0,2.0,760,3,Basic
54881,24,0.0,10.0,6763,2,Basic
12873,1,0.0,5.0,8515,5,Basic
66263,51,0.0,7.0,7982,8,Basic
26965,29,1.0,6.0,6704,6,Luxury
9433,84,0.0,3.0,3404,7,Basic
95293,80,0.0,4.0,8860,5,Basic
86619,36,0.0,4.0,2877,8,Basic
86619,36,0.0,4.0,2877,8,Luxury
86619,23,1.0,9.0,5810,7,Basic
86619,23,1.0,9.0,5810,7,Luxury
8677,63,0.0,1.0,579,3,Basic
8677,63,0.0,1.0,579,3,Basic
8677,7,0.0,10.0,8678,10,Basic
8677,7,0.0,10.0,8678,10,Basic
83153,43,0.0,7.0,1912,9,Basic
81892,7,1.0,10.0,2785,6,Basic
21293,25,0.0,1.0,3384,9,Basic
43636,13,1.0,1.0,9943,5,Luxury
1254,23,0.0,3.0,2943,1,Basic
1254,23,0.0,3.0,2943,1,Basic
1254,38,0.0,1.0,6342,7,Basic
1254,38,0.0,1.0,6342,7,Basic
96953,70,1.0,9.0,3973,7,Basic
92877,22,1.0,3.0,5905,8,Basic
37312,40,0.0,4.0,3060,4,Luxury
44075,60,1.0,2.0,1188,8,Basic
55845,73,0.0,2.0,294,9,Basic
55845,73,0.0,2.0,294,9,Luxury
55845,54,0.0,7.0,6103,7,Basic
55845,54,0.0,7.0,6103,7,Luxury
68565,89,0.0,2.0,6951,6,Basic
87484,77,0.0,1.0,654,6,Basic
89220,31,1.0,9.0,6571,8,Basic
31525,25,0.0,1.0,5465,0,Basic
52579,55,1.0,6.0,2129,7,Basic
30803,39,1.0,10.0,8633,6,Basic
82120,31,1.0,4.0,9314,0,Basic
71171,22,1.0,1.0,103,4,Luxury
579,8,0.0,2.0,7544,7,Basic
89204,69,0.0,1.0,8696,6,Basic
5904,56,0.0,7.0,8978,1,Basic
92629,62,0.0,8.0,1667,3,Basic
77553,96,0.0,10.0,4969,8,Basic
3542,16,1.0,8.0,5570,10,Luxury
10749,68,1.0,7.0,6098,8,Basic
38021,76,1.0,2.0,915,0,Luxury
97193,47,0.0,2.0,843,5,Basic
13309,20,1.0,8.0,7675,5,Basic
10708,84,0.0,6.0,118,10,Basic
77460,95,0.0,9.0,7172,2,Basic
94133,93,0.0,5.0,803,10,Basic
99869,63,0.0,7.0,5049,10,Basic
66370,15,0.0,3.0,5636,7,Basic
74780,86,0.0,2.0,1338,1,Basic
89925,25,0.0,7.0,8115,6,Basic
28808,71,1.0,10.0,1103,3,Luxury
28640,68,0.0,2.0,7148,1,Basic
15517,54,0.0,9.0,8916,4,Basic
11059,42,0.0,9.0,2984,0,Basic
86183,10,1.0,10.0,8395,0,Basic
19408,71,1.0,6.0,3514,5,Basic
26958,32,1.0,2.0,919,0,Basic
45859,4,0.0,2.0,3239,9,Basic
43304,52,0.0,2.0,6444,9,Basic
79511,16,0.0,5.0,764,5,Basic
88501,53,0.0,3.0,279,8,Basic
75616,74,1.0,10.0,1227,9,Basic
18368,21,0.0,9.0,5404,10,Basic
5375,33,1.0,3.0,7106,3,Basic
6707,72,0.0,4.0,5004,0,Basic
92190,11,1.0,10.0,3753,2,Basic
25432,58,1.0,7.0,3243,7,Basic
37793,34,0.0,4.0,9413,0,Basic
60854,27,1.0,7.0,2872,1,Basic
91531,85,1.0,8.0,5229,1,Basic
68876,40,1.0,7.0,5567,2,Basic
7608,98,1.0,7.0,4430,4,Basic
68717,60,0.0,10.0,9447,4,Basic
65723,52,1.0,6.0,1872,4,Luxury
80039,64,0.0,4.0,1720,1,Basic
62744,34,0.0,9.0,8558,4,Basic
33624,60,1.0,1.0,8882,1,Luxury
7939,23,1.0,4.0,9245,9,Basic
7939,23,1.0,4.0,9245,9,Basic
7939,76,1.0,4.0,2237,8,Basic
7939,76,1.0,4.0,2237,8,Basic
62854,33,0.0,6.0,7510,10,Basic
51757,81,0.0,1.0,3378,4,Basic
32497,56,0.0,7.0,6207,1,Basic
32267,51,1.0,8.0,6809,2,Basic
92490,40,1.0,3.0,3435,2,Basic
92490,40,1.0,3.0,3435,2,Basic
92490,34,0.0,8.0,390,4,Basic
92490,34,0.0,8.0,390,4,Basic
72677,78,1.0,10.0,2431,10,Basic
68744,89,1.0,5.0,1368,3,Basic
87436,65,1.0,5.0,7593,6,Basic
80776,37,0.0,8.0,8122,8,Basic
30472,87,1.0,7.0,4036,1,Basic
52141,65,0.0,1.0,8866,5,Basic
52141,65,0.0,1.0,8866,5,Basic
52141,9,0.0,4.0,3429,6,Basic
52141,9,0.0,4.0,3429,6,Basic
51777,6,1.0,1.0,7721,8,Luxury
40280,72,1.0,7.0,7269,6,Basic
79457,58,1.0,4.0,5374,6,Basic
93568,51,1.0,5.0,2275,7,Basic
656,98,0.0,3.0,932,10,Basic
28997,16,1.0,3.0,5924,5,Basic
97147,4,0.0,9.0,9304,0,Basic
69411,45,1.0,2.0,6724,3,Basic
38190,42,0.0,5.0,7363,0,Basic
81473,12,1.0,3.0,6267,2,Luxury
23682,31,1.0,10.0,9969,4,Basic
81448,44,0.0,10.0,7801,8,Basic
16127,73,0.0,8.0,4172,6,Basic
61486,18,1.0,4.0,5658,7,Basic
96526,1,0.0,5.0,6972,6,Basic
55287,83,0.0,1.0,1665,3,Basic
86820,16,0.0,1.0,6761,1,Basic
93373,79,1.0,7.0,6912,4,Basic
33098,24,1.0,10.0,9677,5,Basic
69898,71,0.0,1.0,2650,3,Basic
11401,44,1.0,6.0,5418,3,Basic
11401,44,1.0,6.0,5418,3,Basic
11401,61,0.0,6.0,1554,2,Basic
11401,61,0.0,6.0,1554,2,Basic
66705,50,0.0,6.0,8258,9,Basic
38947,88,0.0,4.0,3415,8,Basic
38947,88,0.0,4.0,3415,8,Basic
38947,91,0.0,5.0,9710,4,Basic
38947,91,0.0,5.0,9710,4,Basic
65205,6,1.0,1.0,4422,5,Basic
19339,2,1.0,3.0,9342,4,Basic
23971,18,1.0,1.0,7696,7,Basic
50944,19,0.0,4.0,819,1,Basic
43283,59,0.0,8.0,3881,10,Basic
29323,58,1.0,8.0,8783,8,Basic
81362,72,0.0,7.0,2565,6,Basic
8941,4,0.0,5.0,4065,1,Basic
34967,30,1.0,4.0,4297,1,Basic
66555,56,1.0,10.0,8138,4,Luxury
85985,4,1.0,1.0,5117,6,Basic
85645,49,1.0,3.0,5116,0,Basic
39215,18,1.0,10.0,5647,7,Basic
56643,14,1.0,4.0,8746,7,Basic
60479,97,0.0,6.0,5865,4,Basic
20348,57,0.0,10.0,1777,2,Basic
66371,49,0.0,5.0,3616,9,Basic
31291,16,1.0,8.0,9644,8,Basic
7330,54,0.0,9.0,5927,4,Basic
41502,81,0.0,9.0,3928,7,Basic
23027,52,1.0,5.0,5746,6,Basic
53371,41,0.0,2.0,1530,6,Basic
26997,44,1.0,1.0,80,1,Luxury
16806,10,1.0,6.0,2749,0,Basic
44304,87,0.0,10.0,6303,5,Basic
66563,56,1.0,7.0,6929,3,Luxury
89812,74,0.0,7.0,3059,8,Basic
39302,41,0.0,6.0,4989,4,Basic
44799,32,0.0,5.0,4727,6,Basic
36268,23,0.0,2.0,4511,4,Basic
36268,23,0.0,2.0,4511,4,Basic
36268,26,0.0,10.0,9867,7,Basic
36268,26,0.0,10.0,9867,7,Basic
86676,22,0.0,2.0,7836,3,Basic
83120,8,0.0,1.0,9939,9,Basic
25341,85,1.0,1.0,3406,0,Basic
25105,8,0.0,7.0,471,3,Basic
54090,61,1.0,7.0,8989,0,Luxury
80610,64,0.0,1.0,8636,2,Basic
65507,43,0.0,3.0,1788,2,Basic
27204,73,1.0,10.0,6135,1,Basic
79025,88,1.0,9.0,6689,7,Basic
3452,7,0.0,8.0,9422,1,Basic
21550,89,1.0,7.0,4046,10,Basic
11657,88,0.0,5.0,4985,0,Basic
28103,84,1.0,1.0,3358,1,Basic
47957,13,1.0,1.0,6563,5,Luxury
63519,91,1.0,2.0,5368,10,Basic
76021,71,1.0,5.0,9613,0,Basic
76021,71,1.0,5.0,9613,0,Basic
76021,95,0.0,1.0,1780,2,Basic
76021,95,0.0,1.0,1780,2,Basic
88259,8,0.0,2.0,9058,5,Basic
82787,69,1.0,10.0,8936,6,Luxury
56517,45,0.0,5.0,7822,8,Basic
29096,51,0.0,2.0,2171,0,Basic
36216,15,0.0,3.0,8881,1,Basic
5139,71,1.0,5.0,6548,2,Luxury
25487,54,1.0,10.0,6098,2,Basic
35733,25,0.0,9.0,5810,3,Basic
16735,92,0.0,9.0,182,1,Basic
56202,3,0.0,5.0,4928,5,Basic
12426,33,1.0,2.0,262,9,Basic
12426,33,1.0,2.0,262,9,Basic
12426,53,1.0,6.0,4855,7,Basic
12426,53,1.0,6.0,4855,7,Basic
33984,100,0.0,10.0,7452,3,Basic
98651,32,0.0,10.0,131,10,Basic
5117,58,1.0,3.0,3784,6,Basic
56800,87,0.0,9.0,2005,9,Basic
90904,25,0.0,10.0,4006,9,Luxury
26923,55,0.0,1.0,3340,2,Basic
15734,35,1.0,3.0,9480,8,Luxury
17513,81,0.0,5.0,801,8,Basic
17513,81,0.0,5.0,801,8,Basic
17513,98,0.0,6.0,1700,10,Basic
17513,98,0.0,6.0,1700,10,Basic
14052,47,0.0,6.0,8215,5,Basic
19727,58,1.0,5.0,2920,7,Luxury
77423,58,1.0,1.0,866,9,Luxury
65904,84,0.0,1.0,3922,0,Basic
29001,49,1.0,10.0,8164,5,Basic
32361,44,1.0,10.0,3216,3,Basic
93174,36,0.0,8.0,2493,1,Basic
71192,8,0.0,7.0,1576,5,Basic
68128,39,0.0,5.0,8783,10,Basic
98923,61,0.0,8.0,9134,0,Basic
72196,50,1.0,6.0,3606,1,Basic
99278,10,0.0,5.0,3920,2,Basic
30896,94,0.0,4.0,6784,0,Basic
30896,94,0.0,4.0,6784,0,Luxury
30896,27,1.0,3.0,2708,5,Basic
30896,27,1.0,3.0,2708,5,Luxury
50293,82,1.0,6.0,2929,1,Basic
18229,24,0.0,3.0,2166,4,Basic
79224,87,0.0,7.0,4915,0,Basic
91975,49,0.0,4.0,7865,10,Basic
36387,4,1.0,9.0,7796,2,Luxury
32136,96,1.0,7.0,2390,4,Luxury
20995,5,1.0,2.0,5667,5,Basic
94361,77,1.0,10.0,3279,7,Basic
53019,41,1.0,5.0,7180,4,Basic
8609,35,1.0,5.0,7554,4,Basic
64245,59,1.0,2.0,8736,5,Basic
28192,64,0.0,4.0,1048,1,Basic
14933,56,1.0,1.0,316,7,Luxury
54323,79,0.0,5.0,8177,1,Basic
92204,27,1.0,4.0,2590,10,Basic
3314,3,1.0,8.0,169,0,Basic
17466,80,0.0,6.0,4415,1,Basic
17466,80,0.0,6.0,4415,1,Basic
17466,90,0.0,6.0,218,1,Basic
17466,90,0.0,6.0,218,1,Basic
17389,98,1.0,1.0,9714,3,Basic
23444,72,0.0,1.0,4186,4,Basic
24097,42,0.0,1.0,7433,1,Basic
59850,12,1.0,8.0,2845,10,Basic
88387,59,1.0,3.0,9635,3,Basic
17671,45,1.0,6.0,3910,3,Basic
8537,59,1.0,8.0,3491,7,Basic
19183,18,0.0,10.0,5616,3,Basic
74178,54,1.0,5.0,6167,9,Basic
10562,38,1.0,7.0,1842,1,Basic
77339,55,0.0,4.0,8625,8,Basic
77339,55,0.0,4.0,8625,8,Basic
77339,85,1.0,6.0,8952,6,Basic
77339,85,1.0,6.0,8952,6,Basic
9842,92,1.0,1.0,2586,10,Basic
39477,84,0.0,7.0,9193,5,Basic
22482,95,0.0,1.0,1563,8,Basic
26592,72,0.0,9.0,1414,10,Basic
27008,9,0.0,4.0,2156,7,Basic
48768,37,1.0,6.0,9038,6,Basic
81967,13,1.0,4.0,2916,1,Basic
94845,37,1.0,2.0,6419,0,Luxury
22451,98,0.0,9.0,2551,2,Basic
89087,2,0.0,7.0,8734,1,Basic
4881,78,0.0,3.0,7884,6,Basic
31484,95,1.0,10.0,1825,0,Basic
42616,83,0.0,4.0,2319,1,Basic
99840,13,1.0,5.0,5206,4,Basic
67360,55,0.0,8.0,4975,6,Basic
70010,92,1.0,9.0,7179,1,Luxury
23228,16,0.0,2.0,1392,3,Basic
67055,85,1.0,8.0,6604,9,Basic
39758,19,1.0,5.0,9859,0,Luxury
47618,53,1.0,6.0,8714,4,Basic
39897,78,1.0,5.0,1567,9,Luxury
49729,3,1.0,10.0,4051,0,Basic
86564,12,1.0,2.0,4281,1,Basic
7426,29,0.0,6.0,568,5,Basic
97110,72,0.0,1.0,4241,8,Basic
97110,72,0.0,1.0,4241,8,Basic
97110,95,0.0,8.0,3819,5,Basic
97110,95,0.0,8.0,3819,5,Basic
83738,35,0.0,6.0,2170,2,Basic
77716,85,0.0,1.0,4964,5,Basic
88251,56,0.0,6.0,2546,6,Basic
38800,99,0.0,4.0,6725,0,Basic
54789,36,0.0,8.0,7969,9,Basic
54789,36,0.0,8.0,7969,9,Basic
54789,5,1.0,10.0,6027,2,Basic
54789,5,1.0,10.0,6027,2,Basic
99099,42,1.0,9.0,1739,9,Luxury
77018,26,0.0,10.0,8672,6,Basic
69707,67,1.0,8.0,8149,3,Basic
84211,28,0.0,5.0,1242,2,Basic
59752,83,0.0,5.0,7609,0,Basic
37815,67,0.0,8.0,7152,0,Basic
18681,89,1.0,3.0,5526,5,Luxury
28285,28,1.0,1.0,8084,1,Basic
59773,42,0.0,5.0,9213,10,Basic
87566,38,1.0,8.0,5281,6,Basic
58801,69,1.0,3.0,378,1,Luxury
6454,29,0.0,2.0,3205,2,Basic
87590,42,1.0,2.0,4058,1,Basic
25532,94,0.0,1.0,4906,3,Basic
15791,20,1.0,1.0,5340,7,Luxury
32737,24,0.0,1.0,8248,10,Basic
74097,11,0.0,5.0,9731,7,Basic
24995,59,1.0,10.0,5027,3,Basic
13591,18,1.0,6.0,5983,4,Basic
77100,83,1.0,7.0,3127,8,Basic
21189,23,0.0,7.0,8668,3,Basic
28195,80,0.0,6.0,5675,5,Basic
92363,66,0.0,9.0,186,5,Basic
31752,69,1.0,3.0,7808,7,Luxury
94966,64,1.0,6.0,263,1,Basic
35493,27,1.0,5.0,5585,2,Luxury
78152,6,0.0,1.0,6251,3,Basic
13874,91,1.0,7.0,6859,4,Basic
74893,14,0.0,6.0,5764,7,Basic
36314,100,1.0,7.0,1273,5,Basic
34804,35,0.0,6.0,3601,3,Basic
33783,24,1.0,4.0,8369,4,Luxury
47739,40,0.0,4.0,7432,0,Basic
39108,64,1.0,10.0,2300,5,Basic
36823,16,0.0,1.0,5586,9,Basic
88221,94,0.0,10.0,4823,5,Basic
78977,96,0.0,2.0,2583,3,Basic
99680,12,1.0,5.0,9590,2,Basic
5658,56,1.0,6.0,7786,1,Basic
15526,11,0.0,4.0,8571,1,Basic
62964,16,0.0,10.0,1247,4,Basic
89172,65,0.0,9.0,3283,4,Basic
111,32,0.0,4.0,2795,7,Basic
43467,34,1.0,3.0,2690,6,Basic
35112,98,0.0,1.0,8759,10,Basic
6600,61,0.0,1.0,5113,8,Basic
46709,69,0.0,9.0,7379,3,Basic
6856,55,1.0,9.0,9026,6,Basic
7148,50,0.0,3.0,4720,0,Basic
53062,91,1.0,1.0,7543,3,Basic
43159,96,0.0,3.0,1888,10,Basic
40705,74,1.0,9.0,894,9,Basic
86419,3,0.0,7.0,176,9,Basic
37225,64,1.0,9.0,552,0,Luxury
13912,15,1.0,4.0,9320,8,Luxury
12228,84,1.0,9.0,1473,6,Basic
873,11,0.0,5.0,9736,1,Basic
77472,32,0.0,2.0,8767,3,Basic
55812,95,1.0,4.0,4683,8,Basic
56730,16,0.0,5.0,528,9,Basic
33002,61,1.0,3.0,5746,6,Basic
3929,61,1.0,4.0,5682,9,Basic
66744,40,1.0,5.0,6510,10,Basic
92759,25,0.0,10.0,6371,9,Basic
92759,25,0.0,10.0,6371,9,Basic
92759,90,1.0,8.0,4523,9,Basic
92759,90,1.0,8.0,4523,9,Basic
4117,95,1.0,9.0,8229,0,Luxury
65476,3,0.0,5.0,8397,6,Basic
50404,92,0.0,1.0,4243,0,Basic
85421,62,0.0,3.0,9662,5,Basic
54226,21,0.0,5.0,1732,8,Basic
56287,87,0.0,2.0,7785,1,Basic
84340,37,1.0,8.0,8458,0,Basic
57577,17,0.0,1.0,1481,1,Basic
27451,80,0.0,3.0,3608,9,Basic
79814,41,0.0,1.0,6416,0,Basic
53894,15,1.0,2.0,3841,3,Basic
36095,34,1.0,4.0,1245,3,Luxury
93290,54,1.0,4.0,8805,6,Basic
16478,5,1.0,9.0,6919,9,Basic
68482,51,1.0,9.0,4808,6,Basic
23614,53,1.0,4.0,5240,8,Basic
73692,80,1.0,6.0,5513,7,Basic
46227,32,1.0,8.0,5911,3,Luxury
57454,35,0.0,4.0,7710,7,Basic
18929,79,1.0,4.0,4616,0,Basic
20572,37,1.0,10.0,3570,3,Basic
18012,30,0.0,8.0,4795,5,Basic
59361,29,0.0,8.0,5831,0,Basic
85444,35,0.0,1.0,3582,5,Basic
64265,50,1.0,6.0,3500,7,Basic
1986,44,1.0,8.0,2454,10,Basic
16999,65,0.0,10.0,7189,10,Basic
68912,26,1.0,1.0,2493,8,Basic
59986,57,1.0,1.0,7458,10,Basic
45426,64,0.0,7.0,151,6,Basic
28347,40,0.0,7.0,4414,1,Basic
15124,68,0.0,5.0,4072,3,Basic
72495,90,0.0,8.0,9491,8,Basic
39097,32,0.0,6.0,6754,1,Basic
45958,17,0.0,10.0,5699,0,Basic
11898,67,0.0,5.0,4894,8,Basic
54901,65,0.0,9.0,6057,10,Basic
18198,25,0.0,2.0,6223,2,Basic
98149,91,0.0,10.0,7622,5,Basic
94491,76,1.0,4.0,3514,10,Luxury
63261,94,0.0,5.0,4300,5,Basic
77990,97,1.0,2.0,6670,10,Basic
4827,90,0.0,3.0,7138,8,Basic
50472,71,1.0,10.0,9426,3,Basic
51798,99,0.0,1.0,6885,3,Basic
29431,69,1.0,7.0,9600,9,Basic
29431,69,1.0,7.0,9600,9,Basic
29431,53,0.0,4.0,2458,7,Basic
29431,53,0.0,4.0,2458,7,Basic
52915,63,1.0,9.0,9576,8,Basic
47831,78,0.0,8.0,2899,5,Basic
47831,78,0.0,8.0,2899,5,Basic
47831,51,1.0,1.0,7201,8,Basic
47831,51,1.0,1.0,7201,8,Basic
24511,39,0.0,5.0,7894,4,Basic
33612,29,0.0,1.0,4116,7,Basic
52223,81,1.0,7.0,8361,10,Basic
98796,32,0.0,6.0,3894,6,Basic
2770,36,1.0,5.0,2988,3,Luxury
58108,25,0.0,1.0,4395,3,Basic
1933,57,0.0,8.0,2689,9,Basic
78046,5,0.0,4.0,5277,3,Basic
81425,17,1.0,7.0,1683,8,Basic
74709,32,1.0,7.0,6267,9,Basic
58527,27,0.0,4.0,5877,2,Basic
90505,36,0.0,5.0,2202,3,Basic
32842,93,1.0,3.0,8895,3,Basic
49531,5,0.0,3.0,1554,6,Basic
97472,83,1.0,3.0,4437,9,Basic
41117,93,1.0,7.0,8024,3,Basic
32850,49,1.0,4.0,4895,1,Basic
25762,91,0.0,10.0,2448,6,Basic
69179,60,0.0,4.0,4151,4,Basic
1333,53,0.0,9.0,2538,6,Basic
91107,30,0.0,7.0,8521,2,Basic
96843,25,1.0,10.0,148,6,Basic
24378,27,0.0,9.0,3523,4,Basic
8988,51,1.0,2.0,1125,0,Basic
1549,65,0.0,1.0,8727,9,Basic
79081,20,0.0,9.0,2741,7,Basic
54077,1,0.0,10.0,6939,0,Basic
7249,79,0.0,1.0,7433,9,Basic
99095,77,0.0,8.0,5861,7,Basic
11292,68,0.0,2.0,7285,4,Basic
36436,85,0.0,1.0,6587,2,Basic
35727,78,1.0,2.0,1049,5,Basic
82736,15,0.0,3.0,956,8,Basic
50024,73,1.0,10.0,6654,0,Basic
38535,52,0.0,8.0,6534,5,Basic
20820,50,0.0,3.0,3335,4,Basic
20614,15,1.0,4.0,5714,5,Luxury
4776,91,1.0,5.0,8011,2,Basic
44487,98,0.0,9.0,5790,7,Basic
5528,47,1.0,8.0,9298,5,Basic
84165,62,1.0,4.0,2630,8,Basic
86326,18,0.0,4.0,5790,8,Basic
37868,21,0.0,2.0,1846,8,Basic
62328,54,1.0,8.0,6501,8,Basic
76184,58,0.0,9.0,8458,6,Basic
96352,25,1.0,8.0,1023,8,Basic
831,46,0.0,3.0,1113,4,Basic
59764,78,0.0,8.0,5212,3,Basic
33976,71,1.0,3.0,8993,9,Basic
71627,52,0.0,6.0,3729,3,Basic
53500,26,0.0,5.0,6783,6,Basic
32085,94,0.0,3.0,2650,2,Basic
48144,72,0.0,8.0,5174,1,Basic
32939,18,0.0,1.0,1486,10,Basic
74743,10,0.0,1.0,2936,7,Basic
44436,20,0.0,10.0,7874,2,Basic
21834,73,0.0,9.0,2063,1,Basic
71104,57,0.0,1.0,4468,4,Basic
36654,43,0.0,3.0,4922,8,Basic
40195,56,0.0,1.0,3115,6,Basic
57072,13,1.0,7.0,4959,7,Basic
4750,51,0.0,6.0,7729,3,Basic
43712,6,0.0,9.0,1344,9,Basic
73733,43,1.0,7.0,7979,10,Basic
46731,76,0.0,6.0,7311,1,Basic
46864,3,1.0,8.0,6193,8,Basic
6881,69,1.0,7.0,3121,10,Luxury
88838,41,0.0,3.0,8278,7,Basic
90350,80,0.0,7.0,3934,7,Basic
88408,37,0.0,3.0,8838,0,Basic
37017,26,0.0,7.0,1052,6,Basic
40035,37,1.0,4.0,7210,0,Luxury
49740,99,1.0,8.0,4690,5,Basic
50296,62,1.0,1.0,6296,6,Luxury
47237,31,1.0,6.0,1376,0,Basic
53536,62,0.0,8.0,1470,0,Basic
68348,75,0.0,9.0,9343,4,Basic
3790,7,0.0,8.0,3282,3,Basic
31906,15,0.0,3.0,2749,9,Basic
51672,89,0.0,10.0,2856,10,Basic
31990,100,0.0,6.0,7846,0,Basic
12099,53,0.0,8.0,9320,10,Basic
29366,22,0.0,3.0,9159,9,Basic
429,83,0.0,5.0,1264,0,Basic
65413,96,0.0,5.0,3629,5,Basic
83090,56,1.0,7.0,1640,2,Basic
16218,66,1.0,10.0,548,8,Luxury
64943,100,0.0,2.0,483,9,Basic
1947,6,0.0,10.0,2035,6,Basic
4009,37,1.0,9.0,1820,4,Basic
41404,2,0.0,8.0,9838,8,Basic
34469,70,0.0,6.0,9672,4,Basic
16254,27,1.0,9.0,186,6,Basic
63941,22,0.0,5.0,7407,4,Basic
65582,39,0.0,2.0,5857,10,Basic
49407,4,0.0,9.0,7813,5,Basic
17847,99,1.0,7.0,7689,0,Basic
17847,99,1.0,7.0,7689,0,Basic
17847,97,0.0,7.0,2698,3,Basic
17847,97,0.0,7.0,2698,3,Basic
73769,84,1.0,7.0,4278,6,Basic
40912,4,1.0,9.0,4000,8,Basic
30632,43,0.0,5.0,2103,7,Basic
92329,97,0.0,6.0,6535,5,Basic
94457,63,1.0,9.0,9491,9,Basic
94457,63,1.0,9.0,9491,9,Basic
94457,17,1.0,2.0,9297,8,Basic
94457,17,1.0,2.0,9297,8,Basic
45739,67,1.0,1.0,2146,7,Basic
31774,3,1.0,5.0,5011,0,Basic
272,79,0.0,9.0,2630,9,Basic
92618,66,1.0,2.0,6920,5,Luxury
97566,74,1.0,3.0,8492,6,Basic
74348,61,0.0,1.0,6156,1,Basic
34035,90,0.0,5.0,4387,2,Basic
25078,90,0.0,5.0,2225,0,Basic
80023,30,1.0,7.0,2764,3,Basic
4141,55,1.0,2.0,909,2,Basic
87245,63,0.0,2.0,6224,9,Basic
15981,9,0.0,7.0,2172,2,Basic
66944,3,1.0,4.0,5075,10,Basic
71437,100,1.0,6.0,9061,9,Basic
33742,65,1.0,9.0,9272,2,Basic
37677,5,1.0,5.0,973,8,Luxury
3760,92,0.0,10.0,1139,5,Basic
