squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom
97550,89,,1,,78155,2,,2014,0,5391,897,388,0,0
76485,47,,0,,90254,2,,2008,0,2860,3129,982,0,1
26169,29,,0,,66489,9,,1993,1,7918,187,919,1,9
24239,87,,0,,73056,4,,1998,0,6656,7149,698,0,3
36239,8,,1,,66771,7,,1990,1,6679,6528,798,1,5
10500,88,,1,,10533,10,,2013,1,4170,5501,422,0,5
87060,27,,1,,51803,8,,2000,0,6629,435,512,0,7
66683,19,,1,,50801,6,,2001,0,7473,796,237,1,3
66569,59,,1,,15574,7,,2016,1,2020,7188,269,1,10
84559,29,,1,,53057,7,,2000,0,3573,9556,918,1,8
28749,39,,1,,80821,6,,1996,0,8113,2352,982,1,3
76091,38,,0,,59451,5,,2016,0,8150,6037,930,0,7
92696,49,,0,,74381,9,,2021,0,1559,5111,957,1,2
46988,66,,1,,4863,9,,1991,1,8339,6331,874,1,4
48062,22,,1,,28104,1,,2008,0,7908,552,817,1,1
5767,97,,1,,44551,7,,1998,0,2516,5601,307,1,4
59800,47,,1,,44815,6,,2021,0,5075,3104,864,0,4
54836,25,,1,,64601,10,,2020,0,5278,1059,313,1,6
54318,10,,1,,76737,4,,1998,1,9580,3787,227,1,1
70021,52,,0,,95678,4,,1992,1,4480,6919,680,1,1
54368,11,,1,,55761,3,,2021,0,231,1939,223,0,8
31421,29,,1,,67505,5,,1999,1,8949,2080,630,0,5
63053,6,,1,,45312,3,,1997,1,8414,6270,939,1,8
4187,89,,1,,7488,1,,1994,0,186,2627,559,1,2
33108,82,,1,,52015,6,,2016,0,6250,8751,552,1,2
64393,8,,0,,95335,4,,1990,0,3835,2403,559,0,6
93876,60,,1,,5484,2,,1999,1,4086,5991,494,1,8
67040,60,,1,,1690,4,,1993,0,4817,5222,927,0,0
47938,17,,0,,64247,7,,2013,1,327,209,352,1,8
39090,57,,0,,2922,4,,2010,0,3572,8722,811,1,6
43609,66,,0,,6739,4,,2005,1,3388,2353,120,1,7
41998,74,,0,,32039,6,,1990,0,6838,4925,828,0,9
36496,9,,1,,51526,5,,2017,1,2768,6291,230,1,0
84016,15,,0,,63595,1,,2016,0,3284,9879,641,0,2
3087,27,,1,,9283,3,,2005,1,5866,3557,199,1,1
89768,48,,1,,71000,6,,1993,1,2485,108,864,0,7
30226,74,,1,,71053,10,,2007,0,515,13,223,0,4
58478,5,,1,,5898,6,,2016,0,8366,4799,979,1,7
66621,48,,0,,52165,10,,1995,1,5024,8103,388,1,4
73314,43,,1,,49895,10,,2018,1,3281,5020,968,0,8
59972,28,,1,,32083,9,,2021,1,8384,7226,226,1,4
71591,20,,0,,46834,7,,1998,0,6486,3310,366,0,0
92462,52,,1,,22405,9,,2019,0,9584,8587,677,0,8
52325,60,,1,,76804,6,,1992,0,8987,3149,808,1,4
67311,67,,0,,45626,3,,1990,1,6928,7808,774,1,5
45050,99,,1,,20318,4,,2013,0,5218,8217,144,0,3
61534,73,,0,,22943,9,,2001,0,9265,8974,755,1,6
84091,50,,1,,22718,7,,1993,0,2668,4669,766,0,8
77579,69,,1,,88798,6,,1999,0,4850,5648,144,1,8
25204,31,,1,,87552,4,,2020,0,6560,4287,116,0,6
42059,46,,1,,43289,6,,2017,1,8827,1853,860,1,3
38430,43,,1,,3406,6,,2021,1,1214,606,289,0,8
7069,4,,0,,55300,9,,2009,1,7499,8969,493,1,3
34780,75,,1,,67297,4,,2019,1,3033,6475,800,1,4
12757,100,,0,,19550,7,,2020,1,6795,9983,738,0,5
33749,74,,1,,73976,10,,1999,1,1729,7952,616,1,2
600,37,,0,,72736,4,,2011,0,6738,5603,866,0,1
7239,61,,0,,26435,4,,1994,0,7782,2518,986,0,4
34919,20,,1,,60113,5,,1997,0,6566,628,408,0,2
25614,29,,0,,52970,4,,1994,0,700,377,519,1,9
51434,64,,0,,79754,10,,2012,1,2080,9575,753,0,7
78960,55,,1,,23408,8,,2015,1,7126,5012,974,1,0
70751,64,,1,,92268,1,,2006,0,1506,590,794,1,7
81870,60,,1,,58048,3,,2020,0,3632,5960,723,1,3
91559,36,,1,,82521,6,,2007,1,788,4788,132,1,8
72098,9,,1,,91168,2,,2014,0,9080,9356,740,1,9
23177,19,,0,,69373,4,,2003,0,2706,4593,648,1,6
39517,92,,0,,51212,4,,2019,1,7618,1172,810,1,9
55232,23,,0,,849,8,,1991,0,1492,5697,625,0,6
53735,49,,1,,2423,4,,2006,0,8654,9588,290,1,8
67753,72,,1,,31721,3,,1995,1,7480,2068,929,0,6
1450,59,,0,,2317,10,,2018,1,1285,8119,869,1,10
82141,93,,1,,74213,3,,2019,1,8785,6602,968,1,4
17868,73,,0,,48674,4,,2013,0,1718,5498,710,1,2
71397,71,,0,,68199,3,,1995,1,3477,5530,342,0,2
32623,35,,1,,80204,10,,2003,0,4633,7551,126,0,8
23841,71,,1,,32106,3,,2010,1,7590,5224,564,1,1
16495,94,,0,,90448,3,,1991,1,2214,1464,929,1,7
39109,24,,0,,74477,4,,2002,0,1642,2925,139,0,9
65151,81,,1,,66191,7,,1991,0,3218,9119,849,0,4
61484,91,,0,,87015,8,,2013,0,5486,3641,766,0,3
57160,15,,1,,40786,8,,2002,0,4018,4871,836,1,2
13346,57,,0,,30010,6,,2021,1,2525,545,809,0,8
27351,77,,0,,98465,4,,1997,1,1150,3100,812,1,0
18466,50,,1,,89670,5,,2020,0,2475,1376,568,0,5
45441,29,,0,,21239,3,,2004,1,8121,2996,853,0,6
55933,15,,0,,5800,9,,2001,1,7369,6739,686,1,6
81936,68,,0,,6143,3,,2011,0,6393,9082,734,0,0
18237,70,,0,,25093,9,,2011,0,7173,9144,498,1,9
35631,54,,0,,77355,10,,2018,1,216,1339,775,1,10
99683,12,,0,,18300,5,,2002,1,4034,2877,787,1,6
47664,44,,0,,98008,6,,2010,1,2662,5433,417,0,6
62887,45,,1,,91125,4,,1993,0,292,744,675,0,4
18470,20,,1,,9406,3,,2000,0,4089,9245,905,1,6
36031,63,,0,,74698,9,,2001,1,9701,1325,514,0,4
22776,84,,0,,82401,9,,1993,1,2422,1918,544,1,7
14830,81,,0,,17641,1,,1992,0,6151,1651,243,0,9
43944,40,,0,,5581,10,,2012,1,7466,6556,735,1,6
73062,34,,1,,44770,4,,2016,0,9823,7174,728,1,0
84284,76,,0,,55723,5,,1998,0,4500,4877,480,0,6
9619,66,,0,,82543,9,,1991,1,1069,3823,927,0,10
11410,96,,1,,85454,8,,2019,1,1466,3642,933,1,1
29855,63,,0,,78080,5,,2000,1,3861,7495,204,0,6
46716,94,,0,,25303,8,,2008,1,1361,6855,409,0,3
77046,69,,0,,43517,4,,1992,1,8135,1401,648,0,3
58855,1,,0,,20127,3,,2004,1,2267,3070,531,0,3
69165,66,,0,,51371,4,,2009,1,1543,9736,939,1,9
57915,25,,1,,87517,10,4,2007,1,3394,4287,640,0,5
66279,47,,0,,21934,3,2,2003,1,5079,3156,128,0,10
16068,21,,0,,21716,8,8,1991,1,8893,2564,463,0,2
74325,50,,1,,91978,8,10,1994,1,4008,1952,275,0,5
35742,46,,1,,84138,7,1,2014,1,1732,6019,243,0,7
9026,51,,0,,85842,1,5,2000,0,779,9037,482,0,10
16899,19,,1,,47328,2,4,2020,1,5710,907,302,1,7
99854,82,,0,,82741,3,8,2009,1,4827,2626,918,0,7
33743,56,,1,,21945,10,8,2006,1,7330,3012,345,0,6
72798,22,,1,,61212,9,3,2007,0,2209,2120,637,0,7
86492,21,,0,,42450,3,7,1992,0,7843,5348,463,0,0
38937,35,,1,,2867,2,6,2013,1,1312,1272,794,0,1
24762,22,,1,,50367,10,10,1999,1,5264,3986,502,1,1
91047,45,,0,,41065,8,2,1999,0,7241,1060,757,1,1
55527,64,,1,,61931,4,2,2005,1,9385,9507,786,1,9
70606,17,,1,,38,7,3,2017,0,4927,1285,197,0,5
67327,47,,0,,26709,9,3,1990,1,1097,8551,964,0,10
6125,90,,1,,95979,1,2,2012,1,6423,7934,846,0,10
71833,37,,1,,58147,2,5,2013,0,3772,2045,580,1,6
20811,98,,1,,91543,1,4,1995,1,112,53,586,0,3
7643,98,,0,,5989,2,3,1999,0,2142,7748,983,1,7
16669,95,,1,,15949,4,3,2007,1,6109,1409,239,1,1
84006,73,,1,,54296,4,7,2000,0,9698,6310,837,0,4
34059,49,,0,,63489,4,8,1993,1,4138,5337,347,0,2
36131,95,,0,,72385,8,8,1991,0,1046,8463,331,0,8
8201,18,,1,,38920,7,2,2007,0,4949,5811,185,1,6
38398,84,,0,,44513,6,8,1994,0,1618,9458,404,0,8
38833,10,,0,,28075,4,3,2014,1,1828,7626,462,1,8
41488,22,,0,,2019,9,1,2013,1,2090,4438,650,0,3
5205,2,,0,,71289,7,3,2005,0,8342,4705,742,0,0
45066,28,,0,,85825,9,5,2013,0,7092,6757,924,1,0
63875,53,,1,,54408,7,3,1999,0,4139,7178,152,0,6
25052,88,,0,,1083,8,6,2020,1,718,6346,703,0,10
51457,64,,1,,68294,3,10,2016,0,3016,1891,633,1,4
84396,64,,0,,88421,6,7,2015,1,7416,6190,593,1,2
64920,98,,1,,1173,8,8,2016,0,2287,8181,426,1,6
9166,4,,0,,26610,4,1,2015,1,6838,9438,842,1,8
85558,48,,0,,55318,2,9,2017,1,7997,655,374,1,0
87267,75,,0,,57714,6,10,2019,0,6899,1628,666,1,4
96091,100,,1,,99874,10,3,1999,0,6546,4094,373,0,6
38003,98,,0,,49191,8,10,2008,0,9981,6500,129,0,2
83120,97,,1,,93953,6,6,2015,1,15,4581,481,0,1
20468,100,,0,,63924,6,4,2003,1,9659,6233,802,0,0
75152,91,,0,,61836,3,3,2018,0,4717,5685,412,0,2
32688,9,,1,,86166,6,5,2013,1,9089,6967,398,1,7
45868,72,,1,,33082,5,7,1994,1,7668,9908,216,0,10
73900,69,,1,,57473,4,3,2018,0,9847,6227,140,1,4
16000,41,,1,,86898,9,4,2007,1,7228,764,138,0,6
1423,59,,1,,21687,8,4,1993,1,3900,1985,879,0,8
29951,37,,1,,56604,6,8,1995,1,5692,9582,762,0,0
40231,84,,1,,64474,4,5,1999,0,5700,303,758,1,0
59517,38,,0,,93928,8,8,2003,0,6831,2741,727,1,6
98969,26,,0,,36941,10,8,2003,0,3744,5809,992,1,5
99177,49,,0,,5100,6,10,2021,1,6326,6738,429,1,3
89157,46,,0,,34482,3,6,2009,1,3510,781,290,1,4
67429,60,,1,,89820,8,7,1991,0,3578,3600,858,1,1
38431,57,,0,,69199,9,3,2020,0,4121,3307,374,0,8
72495,76,,1,,8723,8,10,1994,0,3413,2245,254,1,0
85362,77,,0,,40604,6,5,1997,0,7728,8516,186,1,4
28597,93,,0,,16237,3,9,1990,0,4492,270,714,0,8
13687,36,,1,,2400,3,5,2001,1,4148,6383,590,0,5
50479,3,,1,,39939,5,9,2020,0,4149,6785,188,0,5
98121,38,,1,,20289,7,4,1995,1,6028,8690,275,0,2
57736,16,,0,,83855,9,6,1999,1,6099,1511,588,0,2
30356,40,,0,,13378,7,1,1992,0,7660,774,551,0,8
21141,38,,1,,65184,10,3,1998,1,169,8853,697,1,10
98122,34,,0,,80176,7,4,2009,1,7125,7272,186,1,5
34746,12,,0,,57668,10,5,2000,0,2840,3137,377,0,4
17297,43,,1,,99289,7,5,2012,1,3216,5586,243,1,2
80324,47,,1,,20394,3,2,1993,1,325,3203,109,0,9
15815,13,,1,,2179,7,1,2019,0,637,7880,552,0,4
1066,5,,1,,65388,4,9,2017,1,2723,9228,524,1,5
79275,95,,1,,13000,5,9,1995,1,3689,7215,132,1,3
20658,7,,1,,80216,4,10,1997,0,8080,9560,341,1,10
8687,88,,1,,2052,3,6,1993,1,7414,6075,710,1,3
69638,42,,1,,89878,1,2,1991,0,4703,7032,937,1,6
94036,18,,0,,79418,10,9,2001,1,5913,178,986,0,10
60889,72,,0,,55928,6,8,2018,0,7437,4833,131,0,7
11680,21,,0,,5324,10,1,1992,0,7478,6846,921,1,6
11458,96,,1,,95286,9,5,2010,0,1365,3757,321,0,6
20397,67,,0,,29406,8,7,1997,0,705,4914,898,1,3
83206,34,,0,,27565,9,9,1999,0,9170,9694,327,0,9
8951,11,,0,,32412,1,10,1997,0,6189,2892,626,0,1
22854,41,,0,,74420,4,7,2001,1,6216,521,481,1,0
46042,52,,0,,45861,9,8,2015,0,65,9506,946,0,5
93506,20,,0,,7068,8,9,2017,0,5297,1410,306,1,8
58748,76,,0,,20761,2,5,2010,1,1627,996,639,0,2
715,71,,0,,33439,7,3,2010,1,8609,3736,740,1,8
55327,22,,0,,76622,1,2,1993,1,7163,9333,504,1,8
63631,84,,0,,31269,6,10,2000,0,239,1952,411,1,4
77915,99,,0,,63942,5,10,2018,1,1081,9015,448,0,4
91804,5,,0,,87339,3,9,1999,1,8554,1275,930,1,8
57295,95,,0,,32081,2,2,1994,1,9771,9634,951,1,7
61057,65,,0,,17051,9,8,1998,0,9762,545,369,1,6
91626,83,,0,,59173,4,5,1991,1,2684,784,101,1,8
29356,96,,1,,4864,4,9,1990,1,1780,393,413,1,3
27134,62,,0,,1498,7,7,2003,0,3718,9140,357,1,3
1682,65,,0,,7602,2,3,2017,1,2590,425,659,1,4
98868,41,,1,,85917,7,3,2021,1,2146,1077,623,1,3
23898,62,,0,,73176,9,9,1996,1,8256,4656,136,0,1
83110,43,,0,,55046,7,10,2001,0,4108,5663,380,1,7
71154,67,,1,,8762,2,6,2021,1,8418,7187,706,0,8
90841,48,,0,,25300,6,5,2003,0,3333,149,842,0,9
68416,87,,0,,60979,8,7,2010,0,1811,6776,424,0,6
47585,95,,0,,81532,5,1,1993,1,5101,89,639,0,0
28452,79,,0,,79918,4,10,2006,1,388,1889,566,1,2
15630,78,,0,,98750,7,3,1996,0,7084,4158,225,1,0
65900,36,,1,,27819,1,5,2017,1,2637,1038,452,0,1
21600,94,,0,,85215,10,8,2000,1,3129,6029,236,1,3
74704,31,,0,,93675,1,9,1992,0,7463,8866,347,0,9
87291,78,,1,,5950,3,3,2017,1,6214,3127,596,1,2
96687,65,,1,,70871,4,4,2012,1,2438,8183,695,1,6
60567,65,,1,,39919,7,6,2019,0,7010,7994,993,1,0
4872,41,,0,,79028,9,6,1990,0,5851,1579,473,0,6
9157,48,,0,,6500,4,10,2009,0,6401,6536,488,0,8
65217,26,,1,,96357,6,8,2019,1,1374,3300,804,0,10
87346,56,,1,,34773,9,9,1990,1,5792,549,947,1,4
47701,26,,0,46,73572,3,5,2001,0,5447,3025,610,0,3
14766,50,,1,79,36865,8,1,2001,0,8031,383,643,0,4
94841,19,,1,75,11526,3,5,1998,1,3157,986,585,1,6
59318,92,,0,91,68354,9,8,2002,0,9413,9619,425,1,5
1796,28,,0,4,66676,1,1,1997,1,8360,2070,142,0,4
96526,36,,1,34,61875,5,2,2020,1,2131,710,680,1,0
62876,36,,0,9,90089,4,8,2006,0,338,8342,740,1,4
59558,43,,1,89,79779,4,3,2012,0,9174,4094,712,1,5
97008,89,,1,4,11466,9,5,2014,1,8321,5231,369,1,0
66746,6,,0,10,22139,7,3,1997,0,1567,9732,378,1,3
25776,36,,0,93,4777,5,9,2002,0,688,5948,954,1,10
96195,97,,1,64,91809,7,4,2018,1,3874,9414,892,0,3
4805,47,,1,99,48026,5,5,1995,1,2788,4069,839,1,0
23045,21,,0,75,72570,5,5,1990,1,651,4309,607,0,0
95441,70,,1,65,3574,6,10,2017,1,2841,3067,404,1,3
28381,34,,0,64,44973,6,2,2009,0,6737,1660,502,1,2
15731,34,,1,37,93825,5,2,2003,1,7361,4828,277,0,5
18966,58,,0,25,4414,10,4,2019,1,2327,7431,823,0,0
24393,46,,1,16,18507,4,8,2019,0,4080,4764,619,1,2
53339,67,,0,11,6144,4,1,2013,0,368,8180,312,0,3
44053,17,,0,55,70068,9,3,2004,0,6586,382,258,0,3
70898,98,,0,92,51635,6,1,1994,0,4848,784,942,1,3
84483,41,,0,85,28464,10,3,2019,0,6052,369,651,1,6
35716,24,,0,,77207,4,2,2013,1,8821,9581,991,0,10
64693,64,,0,,90290,10,9,2013,0,7506,6802,687,0,7
32593,40,,0,,89328,2,9,2006,0,2261,9719,871,1,2
1607,63,,1,,32832,10,8,2020,0,2844,5531,878,0,7
39484,74,,1,,6688,6,4,1991,0,3172,2821,172,1,9
32458,28,,1,,47125,1,3,2015,0,8462,890,523,1,7
72243,64,,1,,34837,2,1,2004,1,4431,8585,752,1,3
20624,44,,0,,50284,10,2,1996,0,318,6191,606,0,4
7443,38,,0,,4785,8,8,2005,0,3249,4423,503,0,1
78382,41,,0,,58781,7,1,2020,1,8751,7515,985,1,6
70614,15,,1,,61317,10,5,2010,1,4845,8727,991,0,2
32235,59,,0,,76786,2,6,2016,0,7388,828,488,0,10
2523,12,,1,,75753,3,10,2015,1,150,473,949,1,1
87864,55,,0,,48421,8,4,2019,1,7834,7083,745,0,9
18316,97,,0,,68804,10,5,1991,0,5804,2070,846,1,9
94471,30,,1,,55210,6,1,2011,1,1327,6342,285,0,3
60704,96,,1,,18856,1,10,2004,0,4505,9766,847,1,2
54020,4,,0,,58230,1,3,2013,0,8767,4062,882,1,4
59612,37,,0,,69063,10,7,2017,1,5616,5474,914,1,2
56467,63,,0,,28576,3,2,1990,0,2743,5018,815,0,0
65625,55,,1,,89469,2,10,2015,1,774,1091,958,1,10
41570,76,,1,,21758,10,4,2014,1,3573,3494,486,1,10
44862,99,,1,,58122,7,5,1992,0,9383,3076,631,0,3
47212,37,,1,,4826,7,4,2001,0,7210,5160,159,0,9
2840,17,,0,,94918,4,4,2004,0,6848,5362,294,1,10
40465,85,,0,,6023,4,9,2004,0,6327,1053,403,1,0
17191,80,,1,,49538,2,5,1995,0,3192,2786,716,1,9
56480,85,,0,,21192,8,3,2016,0,8211,9476,532,0,1
70503,78,,0,,72210,2,6,2021,0,6819,4897,948,0,4
4885,100,,0,,79559,7,8,1993,0,9519,8043,718,0,6
58263,65,,1,,39046,9,10,2006,1,7942,6968,786,1,3
47647,52,,1,,24285,10,2,2002,1,3220,9457,171,1,10
57916,51,,0,,8801,8,1,1998,1,3831,5615,356,1,1
6396,71,,0,,28917,6,6,2005,0,413,3302,682,0,9
41972,18,,1,,40098,7,7,1995,0,842,820,846,0,0
94311,11,,0,,89062,8,1,2007,1,3619,128,868,0,7
10714,41,,1,,23803,5,6,1996,1,2598,1190,631,1,6
11259,26,,1,,34780,10,4,2010,0,902,3876,125,1,7
3534,16,,1,,39998,4,1,2003,1,5811,6473,900,0,0
52680,10,,1,,10177,6,4,1991,1,5687,2005,242,0,0
62711,60,,0,,42211,8,10,2007,1,4484,5437,329,0,6
19268,12,,0,,38471,3,5,2010,0,1133,5202,357,1,3
36119,39,,0,,16503,7,4,2019,1,3958,3737,889,1,3
28394,53,,0,,81916,8,8,2003,1,63,8840,328,0,2
20392,33,,0,,53104,10,5,2007,1,1256,7011,171,1,2
7259,25,,1,,860,1,4,2014,0,6482,2430,537,0,5
28183,81,,0,,44087,5,2,1993,1,2798,5783,525,1,10
92188,14,,1,,5286,10,2,1996,1,61,7526,693,0,0
29815,28,,0,,46462,9,7,1995,1,3530,2821,663,0,0
50219,96,,0,,23667,9,6,2003,1,8051,8796,965,1,0
1722,56,,1,,27948,8,8,2002,0,6240,8680,497,1,2
70399,14,,1,,82950,6,5,2013,1,8009,9856,255,0,4
28790,52,,0,,13856,7,6,2021,1,1238,5370,218,0,4
92962,7,,1,,32437,5,1,2000,0,6581,1046,315,0,3
34245,2,,0,,50891,4,4,2010,1,251,3567,918,1,5
54677,64,,1,,77132,2,10,1996,0,1236,3643,537,1,2
74227,84,,0,,98736,7,7,2000,0,4609,7857,378,0,5
94939,46,,1,,55155,9,10,2009,0,9164,9600,351,1,7
48884,58,,0,,15276,1,7,2010,0,311,1098,729,0,9
10638,39,,0,,64229,5,4,2016,1,3142,3829,138,1,10
90315,61,,1,,21653,,7,1994,1,5604,3492,490,1,7
17633,28,,0,,83228,,2,2013,0,1644,8999,162,1,2
63242,45,,1,,63066,,10,2017,1,6932,5206,340,1,1
79344,46,,1,,19012,,3,1991,0,8088,4938,744,1,7
72093,48,,1,,83520,,1,2005,0,4805,7,148,0,9
13378,59,,0,,2735,,1,2001,1,8171,5848,488,0,7
47019,35,,1,,60947,,4,2020,0,2005,1643,694,1,6
34666,75,,1,,28826,,2,2002,1,9405,9154,186,1,6
93509,28,,1,,48468,,2,1992,1,72,9223,731,1,6
13583,42,,0,,42009,,2,2015,1,4519,3442,911,0,10
19649,11,,1,,87255,,4,1999,0,595,6282,795,1,2
141,16,,1,,42248,,4,1997,0,3411,8985,213,0,4
22821,64,,1,,66304,,8,1993,1,2060,103,491,1,2
533,76,,1,,94923,,8,2021,1,654,3585,301,0,9
67020,71,,1,,64361,,7,2015,0,3647,997,640,0,1
49094,30,,0,,90656,,2,2021,1,4934,3570,625,1,8
25269,88,,0,,86720,,7,2019,1,3464,5175,693,1,1
71989,41,,0,,50519,,3,2003,0,7290,4027,337,1,4
73180,1,,1,,38386,,7,2011,0,3340,452,784,1,10
18926,58,,1,,32618,,4,1998,0,5353,4021,442,1,8
6492,76,,0,,81044,,3,2018,0,2655,6299,372,0,9
98045,4,,1,,78526,,5,2002,0,9321,2416,570,1,0
51589,83,,1,,55528,,10,1998,0,7867,7522,819,1,5
24390,75,,0,,70527,,9,1992,0,7295,6840,235,0,1
75890,10,,1,,33129,,5,2001,1,270,3676,744,0,8
29220,9,,1,,33789,,6,1994,0,391,8842,706,0,0
72433,57,,1,,69864,,7,2001,0,6995,8567,276,1,0
57467,98,,0,,24393,,3,1993,0,661,9428,600,1,2
81482,76,,0,,56103,,7,1997,0,2265,3606,281,0,6
61346,69,,1,,63238,,10,2009,1,7427,5864,207,1,10
80915,23,,1,,46095,,6,1992,1,5351,1864,569,0,0
65479,74,,1,,99953,,5,2000,1,9347,1817,460,0,10
48302,22,,0,,82376,,9,2017,0,9855,6297,543,1,1
76690,21,,1,,91395,,1,1990,1,611,2112,181,1,8
14447,39,,1,,93847,,8,2002,0,5371,9535,965,0,6
24213,31,,1,,51767,,7,1994,0,1561,1228,653,0,5
1843,30,,1,,3,,7,2007,1,1313,9063,706,0,5
78183,65,,1,,3648,,9,2007,1,8682,588,748,1,4
99323,35,,1,,69665,,7,2018,0,6346,6556,280,1,3
67491,21,,0,,5308,,7,2007,0,1253,1592,254,1,0
2588,82,1,0,,25395,,5,2016,0,7247,9670,987,0,8
76635,6,1,1,,73981,,5,1999,0,981,5857,949,1,1
45070,100,0,0,,21335,,9,1997,0,1333,989,885,1,0
62381,58,1,0,,22862,,4,2003,0,1809,2821,734,1,6
98543,2,1,0,,88249,,3,1992,1,2955,6151,661,0,7
13972,39,0,0,,91674,,2,2009,0,1477,3153,952,1,2
71567,70,0,1,,64245,,8,1992,0,5968,1718,985,0,4
36804,99,0,0,,76338,,8,1996,0,6951,6584,594,1,6
21297,71,1,1,,75154,,3,1995,1,8198,4951,111,0,4
9950,1,1,0,,79019,,10,2012,1,3156,6914,174,0,4
3661,50,1,1,,1138,,8,2007,0,6186,862,613,0,7
88102,51,1,0,,42082,,3,2016,0,7245,6073,496,1,9
72596,91,0,0,,32957,,6,2015,0,9595,1266,156,1,0
70763,4,1,0,,18220,,4,2015,0,7098,5958,484,0,9
12002,58,0,0,,2764,,8,1995,0,1718,3877,867,1,1
26146,34,0,1,,431,,9,2011,1,2060,7566,680,1,7
13716,62,0,1,,61202,,8,1990,1,5967,1070,911,0,10
23281,32,1,1,,87667,,10,2020,1,3681,3220,422,1,3
3824,45,1,1,,11597,,6,2019,1,3191,6677,305,0,0
56086,3,1,0,,52007,,2,2021,1,2853,1194,863,0,1
19014,67,1,0,,82387,,2,1999,0,3330,8941,550,0,6
80808,59,1,0,,18733,,5,2004,0,3879,8229,434,0,5
83602,5,0,1,,48528,,7,1991,0,8993,8003,496,1,5
99767,27,0,1,,46530,,8,2018,0,520,7948,495,1,2
60675,32,1,0,,97066,,7,2002,0,5953,6958,260,0,6
20210,2,1,0,,77066,,8,2007,0,2811,9309,218,0,4
28694,82,0,0,,44298,,3,1991,1,3206,2352,310,1,3
45521,53,0,0,,26627,,9,1991,1,8643,2999,670,0,7
55727,46,0,0,,94339,,5,2016,0,5811,42,183,0,2
17307,20,1,0,,81794,,8,2006,1,2317,5409,692,0,2
86474,98,0,0,,50147,,6,2004,0,1928,4232,220,0,7
6012,53,1,0,,96011,,7,2013,0,392,2928,423,0,4
6617,51,0,0,,26766,,4,2010,1,7115,5340,248,0,10
34061,43,0,0,,26346,,1,1993,0,1616,6765,534,1,9
12881,12,1,0,,85503,,5,2006,1,8654,5066,920,1,0
48458,82,1,0,,98206,,6,2002,1,5447,7360,308,0,6
89618,49,1,0,,30029,,6,2006,1,4321,9355,752,1,0
10369,30,1,0,,51049,,10,1999,0,9629,7874,383,0,10
21865,24,0,1,,50297,,5,1993,0,2324,4385,932,1,3
30817,48,0,0,,26230,,3,2013,0,2444,9730,961,1,3
8808,85,1,0,,93756,,10,1998,1,9287,4979,416,0,5
16006,69,1,1,,6423,,10,1990,0,3565,742,405,1,3
70517,37,0,0,,67679,,6,2002,1,9373,6035,184,1,5
55592,68,0,1,,80811,,6,2021,0,7719,4694,372,1,0
10978,17,0,1,,25000,,9,2015,1,9798,2127,481,1,6
94388,7,1,0,,41690,,8,1996,0,7739,1176,741,0,8
18041,90,1,0,,90750,,8,2006,0,1064,653,221,1,3
