SquareMeters,NumberOfRooms,HasYard,NumPrevOwners,Attic,HasGuestRoom,price
45440,74,0.0,10.0,7129,0,4550279.2
13112,74,1.0,9.0,1105,9,1318665.3
68276,71,0.0,4.0,7020,10,6829756.2
64518,90,0.0,6.0,3638,6,6455071.0
56093,94,1.0,10.0,6187,2,5619471.8
84653,83,0.0,8.0,299,1,8467089.7
96169,51,0.0,3.0,9920,7,9620987.9
57789,60,1.0,6.0,7192,5,5787699.8
93091,33,1.0,9.0,8404,8,9317741.3
87190,99,1.0,7.0,5913,0,8724894.3
38998,68,1.0,3.0,6035,2,3910733.6
97134,61,1.0,4.0,5077,7,9718663.9
39309,80,1.0,3.0,6462,7,3939850.1
70751,87,1.0,8.0,2319,7,7084089.3
63086,91,0.0,2.0,7398,10,6312576.3
25472,23,0.0,3.0,5106,9,2552592.3
3514,8,0.0,6.0,5840,2,357856.3
99134,67,1.0,9.0,9674,2,9919472.8
82653,31,0.0,6.0,2348,3,8270829.2
3723,75,1.0,10.0,9834,3,378299.0
28232,6,0.0,10.0,8322,1,2827201.7
46838,49,0.0,8.0,9273,6,4691794.0
90562,47,1.0,1.0,8224,4,9066552.2
562,95,0.0,5.0,1092,10,65326.3
5603,75,1.0,10.0,6398,5,566684.2
61704,20,1.0,6.0,3805,6,6176111.2
49579,99,1.0,10.0,6666,8,4967775.6
59885,28,1.0,4.0,7183,3,5995883.0
72109,81,1.0,8.0,1567,8,7220099.5
41965,87,0.0,4.0,7371,7,4204881.0
94216,32,1.0,9.0,4231,3,9432083.6
39166,68,0.0,5.0,5967,7,3924397.8
9923,41,0.0,10.0,1899,7,995743.4
49374,38,0.0,6.0,5269,10,4944387.0
76316,99,0.0,1.0,262,2,7634333.5
26089,30,1.0,2.0,7946,9,2615548.3
26089,30,1.0,2.0,7946,9,2615439.9
26089,2,0.0,3.0,2412,7,2615548.3
26089,2,0.0,3.0,2412,7,2615439.9
98045,21,1.0,10.0,3182,3,9818036.5
69594,47,0.0,3.0,128,5,6963010.1
56966,77,0.0,7.0,4039,2,5701030.2
64795,53,1.0,10.0,4387,7,6489157.6
39574,37,1.0,1.0,4867,1,3969486.8
49014,54,0.0,3.0,5627,2,4908129.4
17034,50,1.0,2.0,5877,5,1717170.6
18742,10,0.0,1.0,9056,6,1879684.5
98794,80,0.0,2.0,6710,8,9886677.1
72207,46,1.0,2.0,760,3,7230004.6
54881,24,0.0,10.0,6763,2,5494411.8
12873,1,0.0,5.0,8515,5,1288333.0
66263,51,0.0,7.0,7982,8,6628369.0
26965,29,1.0,6.0,6704,6,2703481.2
9433,84,0.0,3.0,3404,7,944025.5
95293,80,0.0,4.0,8860,5,9534163.3
86619,36,0.0,4.0,2877,8,8663060.0
86619,36,0.0,4.0,2877,8,8670749.8
86619,23,1.0,9.0,5810,7,8663060.0
86619,23,1.0,9.0,5810,7,8670749.8
8677,63,0.0,1.0,579,3,875920.6
8677,63,0.0,1.0,579,3,877121.4
8677,7,0.0,10.0,8678,10,875920.6
8677,7,0.0,10.0,8678,10,877121.4
83153,43,0.0,7.0,1912,9,8326391.4
81892,7,1.0,10.0,2785,6,8204629.5
21293,25,0.0,1.0,3384,9,2131214.7
43636,13,1.0,1.0,9943,5,4373848.7
1254,23,0.0,3.0,2943,1,127840.8
1254,23,0.0,3.0,2943,1,128928.1
1254,38,0.0,1.0,6342,7,127840.8
1254,38,0.0,1.0,6342,7,128928.1
96953,70,1.0,9.0,3973,7,9703052.4
92877,22,1.0,3.0,5905,8,9293826.3
37312,40,0.0,4.0,3060,4,3735539.0
44075,60,1.0,2.0,1188,8,4416478.5
55845,73,0.0,2.0,294,9,5593543.0
55845,73,0.0,2.0,294,9,5588845.9
55845,54,0.0,7.0,6103,7,5593543.0
55845,54,0.0,7.0,6103,7,5588845.9
68565,89,0.0,2.0,6951,6,6862474.6
87484,77,0.0,1.0,654,6,8750467.5
89220,31,1.0,9.0,6571,8,8928266.4
31525,25,0.0,1.0,5465,0,3161366.2
52579,55,1.0,6.0,2129,7,5263918.3
30803,39,1.0,10.0,8633,6,3085897.4
82120,31,1.0,4.0,9314,0,8223358.8
71171,22,1.0,1.0,103,4,7127415.1
579,8,0.0,2.0,7544,7,63718.4
89204,69,0.0,1.0,8696,6,8921053.4
5904,56,0.0,7.0,8978,1,595108.8
92629,62,0.0,8.0,1667,3,9263965.3
77553,96,0.0,10.0,4969,8,7763278.5
3542,16,1.0,8.0,5570,10,363918.8
10749,68,1.0,7.0,6098,8,1085899.0
38021,76,1.0,2.0,915,0,3817885.1
97193,47,0.0,2.0,843,5,9723642.9
13309,20,1.0,8.0,7675,5,1337541.4
10708,84,0.0,6.0,118,10,1076965.8
77460,95,0.0,9.0,7172,2,7753079.8
94133,93,0.0,5.0,803,10,9415634.2
99869,63,0.0,7.0,5049,10,9990641.1
66370,15,0.0,3.0,5636,7,6638720.2
74780,86,0.0,2.0,1338,1,7479141.5
89925,25,0.0,7.0,8115,6,8999987.2
28808,71,1.0,10.0,1103,3,2888357.0
28640,68,0.0,2.0,7148,1,2870927.0
15517,54,0.0,9.0,8916,4,1554406.1
11059,42,0.0,9.0,2984,0,1113128.1
86183,10,1.0,10.0,8395,0,8624347.0
19408,71,1.0,6.0,3514,5,1953014.3
26958,32,1.0,2.0,919,0,2706761.1
45859,4,0.0,2.0,3239,9,4595196.8
43304,52,0.0,2.0,6444,9,4337442.9
79511,16,0.0,5.0,764,5,7953040.7
88501,53,0.0,3.0,279,8,8853507.2
75616,74,1.0,10.0,1227,9,7571050.6
18368,21,0.0,9.0,5404,10,1837769.2
5375,33,1.0,3.0,7106,3,550909.0
6707,72,0.0,4.0,5004,0,673817.1
92190,11,1.0,10.0,3753,2,9225418.5
25432,58,1.0,7.0,3243,7,2550518.1
37793,34,0.0,4.0,9413,0,3786136.6
60854,27,1.0,7.0,2872,1,6092125.9
91531,85,1.0,8.0,5229,1,9157941.7
68876,40,1.0,7.0,5567,2,6891640.0
7608,98,1.0,7.0,4430,4,764900.9
68717,60,0.0,10.0,9447,4,6877356.4
65723,52,1.0,6.0,1872,4,6578284.8
80039,64,0.0,4.0,1720,1,8008148.0
62744,34,0.0,9.0,8558,4,6279042.0
33624,60,1.0,1.0,8882,1,3371675.6
7939,23,1.0,4.0,9245,9,806234.5
7939,23,1.0,4.0,9245,9,806926.1
7939,76,1.0,4.0,2237,8,806234.5
7939,76,1.0,4.0,2237,8,806926.1
62854,33,0.0,6.0,7510,10,6289045.6
51757,81,0.0,1.0,3378,4,5177725.2
32497,56,0.0,7.0,6207,1,3253783.8
32267,51,1.0,8.0,6809,2,3235159.9
92490,40,1.0,3.0,3435,2,9254979.9
92490,40,1.0,3.0,3435,2,9250743.5
92490,34,0.0,8.0,390,4,9254979.9
92490,34,0.0,8.0,390,4,9250743.5
72677,78,1.0,10.0,2431,10,7274269.9
68744,89,1.0,5.0,1368,3,6883722.3
87436,65,1.0,5.0,7593,6,8753875.5
80776,37,0.0,8.0,8122,8,8086132.0
30472,87,1.0,7.0,4036,1,3053446.1
52141,65,0.0,1.0,8866,5,5218700.9
52141,65,0.0,1.0,8866,5,5215581.0
52141,9,0.0,4.0,3429,6,5218700.9
52141,9,0.0,4.0,3429,6,5215581.0
51777,6,1.0,1.0,7721,8,5186005.7
40280,72,1.0,7.0,7269,6,4036659.2
79457,58,1.0,4.0,5374,6,7949180.2
93568,51,1.0,5.0,2275,7,9362309.7
656,98,0.0,3.0,932,10,68528.6
28997,16,1.0,3.0,5924,5,2906243.2
97147,4,0.0,9.0,9304,0,9722196.5
69411,45,1.0,2.0,6724,3,6945253.3
38190,42,0.0,5.0,7363,0,3828288.2
81473,12,1.0,3.0,6267,2,8154129.0
23682,31,1.0,10.0,9969,4,2381051.7
81448,44,0.0,10.0,7801,8,8146243.6
16127,73,0.0,8.0,4172,6,1615094.5
61486,18,1.0,4.0,5658,7,6155982.5
96526,1,0.0,5.0,6972,6,9657380.5
55287,83,0.0,1.0,1665,3,5529453.7
86820,16,0.0,1.0,6761,1,8683419.2
93373,79,1.0,7.0,6912,4,9348395.0
33098,24,1.0,10.0,9677,5,3318507.1
69898,71,0.0,1.0,2650,3,6994429.2
11401,44,1.0,6.0,5418,3,1152914.3
11401,44,1.0,6.0,5418,3,1144477.2
11401,61,0.0,6.0,1554,2,1152914.3
11401,61,0.0,6.0,1554,2,1144477.2
66705,50,0.0,6.0,8258,9,6672336.7
38947,88,0.0,4.0,3415,8,3900872.8
38947,88,0.0,4.0,3415,8,3897019.6
38947,91,0.0,5.0,9710,4,3900872.8
38947,91,0.0,5.0,9710,4,3897019.6
65205,6,1.0,1.0,4422,5,6523874.4
19339,2,1.0,3.0,9342,4,1939172.3
23971,18,1.0,1.0,7696,7,2402438.5
50944,19,0.0,4.0,819,1,5099151.3
43283,59,0.0,8.0,3881,10,4336072.2
29323,58,1.0,8.0,8783,8,2938369.0
81362,72,0.0,7.0,2565,6,8144502.4
8941,4,0.0,5.0,4065,1,902785.2
34967,30,1.0,4.0,4297,1,3501658.9
66555,56,1.0,10.0,8138,4,6664457.0
85985,4,1.0,1.0,5117,6,8608190.5
85645,49,1.0,3.0,5116,0,8570147.8
39215,18,1.0,10.0,5647,7,3927273.4
56643,14,1.0,4.0,8746,7,5673199.8
60479,97,0.0,6.0,5865,4,6049532.6
20348,57,0.0,10.0,1777,2,2037902.1
66371,49,0.0,5.0,3616,9,6646262.2
31291,16,1.0,8.0,9644,8,3134903.2
7330,54,0.0,9.0,5927,4,740586.4
41502,81,0.0,9.0,3928,7,4155333.6
23027,52,1.0,5.0,5746,6,2309849.3
53371,41,0.0,2.0,1530,6,5346532.3
26997,44,1.0,1.0,80,1,2712687.1
16806,10,1.0,6.0,2749,0,1686882.8
44304,87,0.0,10.0,6303,5,4436179.2
66563,56,1.0,7.0,6929,3,6665417.5
89812,74,0.0,7.0,3059,8,8986041.2
39302,41,0.0,6.0,4989,4,3933732.6
44799,32,0.0,5.0,4727,6,4489422.3
36268,23,0.0,2.0,4511,4,3633523.7
36268,23,0.0,2.0,4511,4,3631024.3
36268,26,0.0,10.0,9867,7,3633523.7
36268,26,0.0,10.0,9867,7,3631024.3
86676,22,0.0,2.0,7836,3,8672062.9
83120,8,0.0,1.0,9939,9,8313030.5
25341,85,1.0,1.0,3406,0,2544899.4
25105,8,0.0,7.0,471,3,2515100.6
54090,61,1.0,7.0,8989,0,5418306.6
80610,64,0.0,1.0,8636,2,8071729.7
65507,43,0.0,3.0,1788,2,6557760.4
27204,73,1.0,10.0,6135,1,2726114.7
79025,88,1.0,9.0,6689,7,7908018.4
3452,7,0.0,8.0,9422,1,355370.1
21550,89,1.0,7.0,4046,10,2164424.3
11657,88,0.0,5.0,4985,0,1170585.2
28103,84,1.0,1.0,3358,1,2815163.3
47957,13,1.0,1.0,6563,5,4801705.7
63519,91,1.0,2.0,5368,10,6358243.6
76021,71,1.0,5.0,9613,0,7607661.0
76021,71,1.0,5.0,9613,0,7603621.0
76021,95,0.0,1.0,1780,2,7607661.0
76021,95,0.0,1.0,1780,2,7603621.0
88259,8,0.0,2.0,9058,5,8832355.8
82787,69,1.0,10.0,8936,6,8289297.4
56517,45,0.0,5.0,7822,8,5657851.9
29096,51,0.0,2.0,2171,0,2913547.6
36216,15,0.0,3.0,8881,1,3622946.9
5139,71,1.0,5.0,6548,2,525841.8
25487,54,1.0,10.0,6098,2,2562661.2
35733,25,0.0,9.0,5810,3,3573868.3
16735,92,0.0,9.0,182,1,1677084.0
56202,3,0.0,5.0,4928,5,5629550.1
12426,33,1.0,2.0,262,9,1253371.0
12426,33,1.0,2.0,262,9,1246872.8
12426,53,1.0,6.0,4855,7,1253371.0
12426,53,1.0,6.0,4855,7,1246872.8
33984,100,0.0,10.0,7452,3,3402691.0
98651,32,0.0,10.0,131,10,9870164.4
5117,58,1.0,3.0,3784,6,517775.8
56800,87,0.0,9.0,2005,9,5683058.9
90904,25,0.0,10.0,4006,9,9093802.9
26923,55,0.0,1.0,3340,2,2698265.4
15734,35,1.0,3.0,9480,8,1579608.3
17513,81,0.0,5.0,801,8,1761977.6
17513,81,0.0,5.0,801,8,1754716.0
17513,98,0.0,6.0,1700,10,1761977.6
17513,98,0.0,6.0,1700,10,1754716.0
14052,47,0.0,6.0,8215,5,1411943.3
19727,58,1.0,5.0,2920,7,1984798.6
77423,58,1.0,1.0,866,9,7749477.6
65904,84,0.0,1.0,3922,0,6596494.2
29001,49,1.0,10.0,8164,5,2912635.4
32361,44,1.0,10.0,3216,3,3240276.8
93174,36,0.0,8.0,2493,1,9325575.7
71192,8,0.0,7.0,1576,5,7129401.1
68128,39,0.0,5.0,8783,10,6817710.9
98923,61,0.0,8.0,9134,0,9897661.5
72196,50,1.0,6.0,3606,1,7225665.3
99278,10,0.0,5.0,3920,2,9932606.4
30896,94,0.0,4.0,6784,0,3092891.4
30896,94,0.0,4.0,6784,0,3097036.8
30896,27,1.0,3.0,2708,5,3092891.4
30896,27,1.0,3.0,2708,5,3097036.8
50293,82,1.0,6.0,2929,1,5038042.4
18229,24,0.0,3.0,2166,4,1832795.1
79224,87,0.0,7.0,4915,0,7926948.8
91975,49,0.0,4.0,7865,10,9198849.2
36387,4,1.0,9.0,7796,2,3642700.3
32136,96,1.0,7.0,2390,4,3227676.2
20995,5,1.0,2.0,5667,5,2103067.5
94361,77,1.0,10.0,3279,7,9442418.0
53019,41,1.0,5.0,7180,4,5306854.4
8609,35,1.0,5.0,7554,4,867508.2
64245,59,1.0,2.0,8736,5,6430465.2
28192,64,0.0,4.0,1048,1,2820880.0
14933,56,1.0,1.0,316,7,1500885.0
54323,79,0.0,5.0,8177,1,5442454.5
92204,27,1.0,4.0,2590,10,9226065.8
3314,3,1.0,8.0,169,0,336316.4
17466,80,0.0,6.0,4415,1,1751126.5
17466,80,0.0,6.0,4415,1,1753239.1
17466,90,0.0,6.0,218,1,1751126.5
17466,90,0.0,6.0,218,1,1753239.1
17389,98,1.0,1.0,9714,3,1744561.8
23444,72,0.0,1.0,4186,4,2349143.9
24097,42,0.0,1.0,7433,1,2416228.1
59850,12,1.0,8.0,2845,10,5990534.6
88387,59,1.0,3.0,9635,3,8845142.4
17671,45,1.0,6.0,3910,3,1777405.1
8537,59,1.0,8.0,3491,7,859540.8
19183,18,0.0,10.0,5616,3,1919702.4
74178,54,1.0,5.0,6167,9,7424829.6
10562,38,1.0,7.0,1842,1,1058582.4
77339,55,0.0,4.0,8625,8,7741650.8
77339,55,0.0,4.0,8625,8,7736919.6
77339,85,1.0,6.0,8952,6,7741650.8
77339,85,1.0,6.0,8952,6,7736919.6
9842,92,1.0,1.0,2586,10,987460.9
39477,84,0.0,7.0,9193,5,3948983.3
22482,95,0.0,1.0,1563,8,2256703.7
26592,72,0.0,9.0,1414,10,2667272.2
27008,9,0.0,4.0,2156,7,2714052.3
48768,37,1.0,6.0,9038,6,4887404.6
81967,13,1.0,4.0,2916,1,8208953.3
94845,37,1.0,2.0,6419,0,9494690.0
22451,98,0.0,9.0,2551,2,2250405.0
89087,2,0.0,7.0,8734,1,8914578.7
4881,78,0.0,3.0,7884,6,493342.7
31484,95,1.0,10.0,1825,0,3158232.0
42616,83,0.0,4.0,2319,1,4272292.6
99840,13,1.0,5.0,5206,4,9988738.2
67360,55,0.0,8.0,4975,6,6742928.3
70010,92,1.0,9.0,7179,1,7008509.1
23228,16,0.0,2.0,1392,3,2324503.3
67055,85,1.0,8.0,6604,9,6712487.1
39758,19,1.0,5.0,9859,0,3983187.1
47618,53,1.0,6.0,8714,4,4765943.6
39897,78,1.0,5.0,1567,9,3998497.9
49729,3,1.0,10.0,4051,0,4984739.1
86564,12,1.0,2.0,4281,1,8664807.4
7426,29,0.0,6.0,568,5,748575.3
97110,72,0.0,1.0,4241,8,9718256.3
97110,72,0.0,1.0,4241,8,9717346.8
97110,95,0.0,8.0,3819,5,9718256.3
97110,95,0.0,8.0,3819,5,9717346.8
83738,35,0.0,6.0,2170,2,8379855.0
77716,85,0.0,1.0,4964,5,7773638.6
88251,56,0.0,6.0,2546,6,8828611.1
38800,99,0.0,4.0,6725,0,3883353.3
54789,36,0.0,8.0,7969,9,5480117.5
54789,36,0.0,8.0,7969,9,5484239.7
54789,5,1.0,10.0,6027,2,5480117.5
54789,5,1.0,10.0,6027,2,5484239.7
99099,42,1.0,9.0,1739,9,9915651.5
77018,26,0.0,10.0,8672,6,7704215.5
69707,67,1.0,8.0,8149,3,6977217.5
84211,28,0.0,5.0,1242,2,8426333.6
59752,83,0.0,5.0,7609,0,5987095.5
37815,67,0.0,8.0,7152,0,3783946.5
18681,89,1.0,3.0,5526,5,1876356.1
28285,28,1.0,1.0,8084,1,2840774.6
59773,42,0.0,5.0,9213,10,5978589.9
87566,38,1.0,8.0,5281,6,8759575.8
58801,69,1.0,3.0,378,1,5891738.6
6454,29,0.0,2.0,3205,2,646692.6
87590,42,1.0,2.0,4058,1,8764908.1
25532,94,0.0,1.0,4906,3,2555050.6
15791,20,1.0,1.0,5340,7,1583248.6
32737,24,0.0,1.0,8248,10,3278517.5
74097,11,0.0,5.0,9731,7,7411597.3
24995,59,1.0,10.0,5027,3,2511825.9
13591,18,1.0,6.0,5983,4,1367021.0
77100,83,1.0,7.0,3127,8,7719293.4
21189,23,0.0,7.0,8668,3,2126521.4
28195,80,0.0,6.0,5675,5,2826549.5
92363,66,0.0,9.0,186,5,9242507.3
31752,69,1.0,3.0,7808,7,3181933.7
94966,64,1.0,6.0,263,1,9505250.0
35493,27,1.0,5.0,5585,2,3558407.7
78152,6,0.0,1.0,6251,3,7819761.5
13874,91,1.0,7.0,6859,4,1393115.2
74893,14,0.0,6.0,5764,7,7490630.5
36314,100,1.0,7.0,1273,5,3638453.8
34804,35,0.0,6.0,3601,3,3484349.1
33783,24,1.0,4.0,8369,4,3384758.3
47739,40,0.0,4.0,7432,0,4782451.7
39108,64,1.0,10.0,2300,5,3915608.0
36823,16,0.0,1.0,5586,9,3687131.2
88221,94,0.0,10.0,4823,5,8828225.4
78977,96,0.0,2.0,2583,3,7906006.4
99680,12,1.0,5.0,9590,2,9978509.7
5658,56,1.0,6.0,7786,1,577145.9
15526,11,0.0,4.0,8571,1,1555821.3
62964,16,0.0,10.0,1247,4,6298222.0
89172,65,0.0,9.0,3283,4,8919647.6
111,32,0.0,4.0,2795,7,14431.3
43467,34,1.0,3.0,2690,6,4350497.8
35112,98,0.0,1.0,8759,10,3515831.2
6600,61,0.0,1.0,5113,8,667067.4
46709,69,0.0,9.0,7379,3,4680113.6
6856,55,1.0,9.0,9026,6,689679.7
7148,50,0.0,3.0,4720,0,723077.4
53062,91,1.0,1.0,7543,3,5313492.0
43159,96,0.0,3.0,1888,10,4318950.4
40705,74,1.0,9.0,894,9,4080567.1
86419,3,0.0,7.0,176,9,8645299.6
37225,64,1.0,9.0,552,0,3729838.5
13912,15,1.0,4.0,9320,8,1399630.5
12228,84,1.0,9.0,1473,6,1227403.1
873,11,0.0,5.0,9736,1,92386.5
77472,32,0.0,2.0,8767,3,7749318.1
55812,95,1.0,4.0,4683,8,5584760.1
56730,16,0.0,5.0,528,9,5674735.3
33002,61,1.0,3.0,5746,6,3307651.5
3929,61,1.0,4.0,5682,9,398525.3
66744,40,1.0,5.0,6510,10,6681155.1
92759,25,0.0,10.0,6371,9,9279850.0
92759,25,0.0,10.0,6371,9,9280104.2
92759,90,1.0,8.0,4523,9,9279850.0
92759,90,1.0,8.0,4523,9,9280104.2
4117,95,1.0,9.0,8229,0,424791.0
65476,3,0.0,5.0,8397,6,6554554.0
50404,92,0.0,1.0,4243,0,5042499.1
85421,62,0.0,3.0,9662,5,8543272.6
54226,21,0.0,5.0,1732,8,5426007.9
56287,87,0.0,2.0,7785,1,5637555.0
84340,37,1.0,8.0,8458,0,8437869.7
57577,17,0.0,1.0,1481,1,5759307.3
27451,80,0.0,3.0,3608,9,2747145.5
79814,41,0.0,1.0,6416,0,7987492.4
53894,15,1.0,2.0,3841,3,5396620.9
36095,34,1.0,4.0,1245,3,3617203.5
93290,54,1.0,4.0,8805,6,9335722.1
16478,5,1.0,9.0,6919,9,1651205.9
68482,51,1.0,9.0,4808,6,6853208.1
23614,53,1.0,4.0,5240,8,2368476.0
73692,80,1.0,6.0,5513,7,7375143.2
46227,32,1.0,8.0,5911,3,4632832.3
57454,35,0.0,4.0,7710,7,5753949.8
18929,79,1.0,4.0,4616,0,1899066.9
20572,37,1.0,10.0,3570,3,2059597.4
18012,30,0.0,8.0,4795,5,1804873.1
59361,29,0.0,8.0,5831,0,5942427.0
85444,35,0.0,1.0,3582,5,8553656.2
64265,50,1.0,6.0,3500,7,6430203.8
1986,44,1.0,8.0,2454,10,207433.0
16999,65,0.0,10.0,7189,10,1700539.6
68912,26,1.0,1.0,2493,8,6902784.0
59986,57,1.0,1.0,7458,10,6004309.8
45426,64,0.0,7.0,151,6,4543837.4
28347,40,0.0,7.0,4414,1,2843096.1
15124,68,0.0,5.0,4072,3,1514981.2
72495,90,0.0,8.0,9491,8,7255630.0
39097,32,0.0,6.0,6754,1,3915258.1
45958,17,0.0,10.0,5699,0,4597561.2
11898,67,0.0,5.0,4894,8,1191000.0
54901,65,0.0,9.0,6057,10,5499856.4
18198,25,0.0,2.0,6223,2,1828162.9
98149,91,0.0,10.0,7622,5,9820073.8
94491,76,1.0,4.0,3514,10,9456801.8
63261,94,0.0,5.0,4300,5,6327015.5
77990,97,1.0,2.0,6670,10,7809156.7
4827,90,0.0,3.0,7138,8,486479.3
50472,71,1.0,10.0,9426,3,5055489.1
51798,99,0.0,1.0,6885,3,5185741.4
29431,69,1.0,7.0,9600,9,2950835.7
29431,69,1.0,7.0,9600,9,2945626.3
29431,53,0.0,4.0,2458,7,2950835.7
29431,53,0.0,4.0,2458,7,2945626.3
52915,63,1.0,9.0,9576,8,5302289.6
47831,78,0.0,8.0,2899,5,4792760.2
47831,78,0.0,8.0,2899,5,4786919.1
47831,51,1.0,1.0,7201,8,4792760.2
47831,51,1.0,1.0,7201,8,4786919.1
24511,39,0.0,5.0,7894,4,2454663.5
33612,29,0.0,1.0,4116,7,3364167.5
52223,81,1.0,7.0,8361,10,5232399.3
98796,32,0.0,6.0,3894,6,9885975.7
2770,36,1.0,5.0,2988,3,285402.7
58108,25,0.0,1.0,4395,3,5822178.8
1933,57,0.0,8.0,2689,9,194307.1
78046,5,0.0,4.0,5277,3,7810522.5
81425,17,1.0,7.0,1683,8,8154947.2
74709,32,1.0,7.0,6267,9,7476997.3
58527,27,0.0,4.0,5877,2,5858721.3
90505,36,0.0,5.0,2202,3,9055749.1
32842,93,1.0,3.0,8895,3,3291228.2
49531,5,0.0,3.0,1554,6,4955365.5
97472,83,1.0,3.0,4437,9,9756768.4
41117,93,1.0,7.0,8024,3,4123695.4
32850,49,1.0,4.0,4895,1,3296112.2
25762,91,0.0,10.0,2448,6,2580119.1
69179,60,0.0,4.0,4151,4,6921389.3
1333,53,0.0,9.0,2538,6,139934.6
91107,30,0.0,7.0,8521,2,9113493.8
96843,25,1.0,10.0,148,6,9688919.1
24378,27,0.0,9.0,3523,4,2441961.6
8988,51,1.0,2.0,1125,0,905757.6
1549,65,0.0,1.0,8727,9,165820.9
79081,20,0.0,9.0,2741,7,7918094.3
54077,1,0.0,10.0,6939,0,5410654.2
7249,79,0.0,1.0,7433,9,732666.8
99095,77,0.0,8.0,5861,7,9915571.6
11292,68,0.0,2.0,7285,4,1132623.8
36436,85,0.0,1.0,6587,2,3650349.5
35727,78,1.0,2.0,1049,5,3578110.5
82736,15,0.0,3.0,956,8,8276711.7
50024,73,1.0,10.0,6654,0,5010562.4
38535,52,0.0,8.0,6534,5,3854588.9
20820,50,0.0,3.0,3335,4,2088001.4
20614,15,1.0,4.0,5714,5,2070677.9
4776,91,1.0,5.0,8011,2,486403.2
44487,98,0.0,9.0,5790,7,4453518.9
5528,47,1.0,8.0,9298,5,564350.1
84165,62,1.0,4.0,2630,8,8420418.0
86326,18,0.0,4.0,5790,8,8635482.1
37868,21,0.0,2.0,1846,8,3793089.4
62328,54,1.0,8.0,6501,8,6238922.0
76184,58,0.0,9.0,8458,6,7623937.0
96352,25,1.0,8.0,1023,8,9643641.9
831,46,0.0,3.0,1113,4,91333.5
59764,78,0.0,8.0,5212,3,5981705.0
33976,71,1.0,3.0,8993,9,3405161.5
71627,52,0.0,6.0,3729,3,7172359.9
53500,26,0.0,5.0,6783,6,5350627.8
32085,94,0.0,3.0,2650,2,3216632.9
48144,72,0.0,8.0,5174,1,4820543.5
32939,18,0.0,1.0,1486,10,3300978.3
74743,10,0.0,1.0,2936,7,7476064.3
44436,20,0.0,10.0,7874,2,4444815.2
21834,73,0.0,9.0,2063,1,2189064.7
71104,57,0.0,1.0,4468,4,7112359.8
36654,43,0.0,3.0,4922,8,3673319.2
40195,56,0.0,1.0,3115,6,4024544.0
57072,13,1.0,7.0,4959,7,5716738.7
4750,51,0.0,6.0,7729,3,478917.2
43712,6,0.0,9.0,1344,9,4372014.6
73733,43,1.0,7.0,7979,10,7377738.5
46731,76,0.0,6.0,7311,1,4683103.7
46864,3,1.0,8.0,6193,8,4690234.2
6881,69,1.0,7.0,3121,10,693986.6
88838,41,0.0,3.0,8278,7,8892157.3
90350,80,0.0,7.0,3934,7,9041614.5
88408,37,0.0,3.0,8838,0,8842527.4
37017,26,0.0,7.0,1052,6,3709665.0
40035,37,1.0,4.0,7210,0,4010245.1
49740,99,1.0,8.0,4690,5,4987445.0
50296,62,1.0,1.0,6296,6,5038241.3
47237,31,1.0,6.0,1376,0,4736122.3
53536,62,0.0,8.0,1470,0,5356837.8
68348,75,0.0,9.0,9343,4,6841098.5
3790,7,0.0,8.0,3282,3,383898.1
