wine_id,taster_name,title,points
195,,Carpineto 2003 Riserva  (Vino Nobile di Montepulciano),87
196,,Cesani 2007 Pancole  (Vernaccia di San Gimignano),87
200,Kerin Oâ€™Keefe,Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino),90
201,Kerin Oâ€™Keefe,Terlan 2014 Nova Domus Riserva White (Alto Adige),90
216,Kerin Oâ€™Keefe,Podere Scopetone 2012  Brunello di Montalcino,90
221,Kerin Oâ€™Keefe,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),90
222,Kerin Oâ€™Keefe,Talenti 2011 Trentennale  (Brunello di Montalcino),90
223,Kerin Oâ€™Keefe,Terlan 2015 Pinot Bianco (Alto Adige),90
234,,Talamonti 2007 Cerasuolo RosÃ¨  (Montepulciano d'Abruzzo),85
237,,Consorzio Vini Tipici di San Marino NV Moscato (San Marino),85
267,,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),89
268,,Marchesi Fumanelli 2005 Terso White (Veneto),89
270,,Livio Felluga 2009 Friulano (Colli Orientali del Friuli),89
272,,Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige),89
274,,Pico Maccario 2010 Estrosa White (Monferrato),89
279,,Franz Haas 2009 Sauvignon (Alto Adige),89
282,Kerin Oâ€™Keefe,I Giusti e Zanza 2009 Dulcamara Red (Toscana),92
291,Kerin Oâ€™Keefe,Dionigi 2006  Sagrantino di Montefalco,92
299,,Attilio Ghisolfi 2007 Pinay Red (Langhe),87
302,,Cantina del Nebbiolo 2008  Roero,87
303,,Cascina Adelaide 2005 4 Vigne  (Barolo),87
304,,Cascina La Ghersa 2004 Vignassa  (Barbera d'Asti Superiore Nizza),87
309,,SocrÃ© 2006 Nebbiolo (Langhe),87
310,,Boffa 2006 Nebbiolo (Langhe),87
313,,Rabino 2008  Roero,87
315,,Bellussi NV Extra Dry  (Prosecco di Valdobbiadene),86
319,,Paladin 2007 Millesimato Brut Prosecco (Veneto),86
320,,Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene),86
321,,Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),86
322,,Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene),86
324,,L'Antica Quercia 2007 MatiÃº Brut  (Prosecco di Conegliano),86
326,,Marsuret NV Extra Dry  (Prosecco di Valdobbiadene),86
332,,Sommariva NV Palazzo Rosso Brut  (Prosecco di Conegliano),86
333,,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),86
335,,L'Antica Quercia 2007 AriÃ³ Extra Dry  (Prosecco di Conegliano),86
350,Kerin Oâ€™Keefe,Cavallotto 2010 Vignolo Riserva  (Barolo),97
361,Kerin Oâ€™Keefe,Bel Colle 2012 Simposio  (Barolo),95
366,Joe Czerwinski,Cantina Terlano 2000 Vorberg Pinot Bianco (Alto Adige),88
368,Joe Czerwinski,Montresor 2001  Bianco di Custoza,88
369,Joe Czerwinski,Ronco del Gelso 1999 Chardonnay (Friuli),88
371,Roger Voss,Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige),88
372,Roger Voss,Gini 2002 Classico  (Soave),88
373,Roger Voss,Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),88
375,,Valiano 1997 Vino in Musica Sangiovese (Toscana),88
376,Roger Voss,Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli),88
379,Joe Czerwinski,La Vis 2001 Bianco dei Sorni White (Trentino),88
381,Joe Czerwinski,Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza),88
383,Joe Czerwinski,Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige),88
384,Roger Voss,San Michele Eppan 2002 Sanct Valentin GewÃ¼rztraminer (Alto Adige),88
389,Joe Czerwinski,Cantina Terlano 2002 Terlano Classico White (Alto Adige),88
395,Roger Voss,Conti Formentini 2001 Rylint White (Collio),87
399,,Astoria 2008 Extra Dry  (Prosecco di Valdobbiadene),85
400,,Cantine Maschio NV Brut Prosecco (Italy),85
401,,Val d'Oca 2008 Millesimato Extra Dry  (Prosecco di Valdobbiadene),85
405,,Viticoltori Ponte NV Extra Dry  (Prosecco del Veneto),85
408,,Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene),85
412,,Perlage 2008 Canah Brut  (Prosecco di Valdobbiadene),85
413,,Pizzolato 2007  Prosecco del Veneto,85
414,,Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto),85
416,,Ca'Tullio NV Extra Dry  (Prosecco del Veneto),85
417,,Pizzolato NV  Prosecco del Veneto,85
434,Kerin Oâ€™Keefe,Revello Fratelli 2012 Rocche dell'Annunziata  (Barolo),89
436,Kerin Oâ€™Keefe,Tenuta La Marchesa 2015 Gold Label  (Gavi),89
445,Kerin Oâ€™Keefe,Fattorie Romeo del Castello 2015 Vigorosa Rosato Nerello Mascalese (Etna),88
449,Kerin Oâ€™Keefe,Majolini 2006 Pas DosÃ© Aligi Sassu Chardonnay (Franciacorta),92
451,Kerin Oâ€™Keefe,Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano),92
458,Kerin Oâ€™Keefe,Bellavista 2006 Gran CuvÃ©e Pas OperÃ© Sparkling (Franciacorta),92
465,Kerin Oâ€™Keefe,Valentina Cubi 2008 Morar  (Amarone della Valpolicella),92
479,,Santa Maria La Palma 2006 Riserva  (Cannonau di Sardegna),87
481,,Argiolas 2008 Costera Cannonau (Isola dei Nuraghi),87
487,,Marco Cecchini 2010 TovÃ¨ White (Colli Orientali del Friuli),87
488,,Vigneti Le Monde 2010 Pinot Grigio (Friuli Grave),87
489,,Vigneti Le Monde 2010 Sauvignon (Friuli Grave),87
506,,AltÃ¹ris 2011 White (Venezia Giulia),87
542,Kerin Oâ€™Keefe,Abbazia di Novacella 2012 Praepositus Passito Kerner (Alto Adige Valle Isarco),93
549,Kerin Oâ€™Keefe,Brandini 2011 Resa 56  (Barolo),93
572,Kerin Oâ€™Keefe,Brezza 2015  Dolcetto d'Alba,89
600,,Michele Chiarlo 2011 Le Marne  (Gavi),87
614,,Suavia 2011  Soave Classico,87
617,,Bacio della Luna 2012 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),87
619,,Borgo Maragliano NV Brut Chardonnay (Piedmont),87
620,,Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore),87
625,,Corte Falco 2010  Soave,87
626,,Domenico Cavazza 2008 Memorio Creari  (Gambellara Classico),87
627,,Cascina La Ghersa 2009 Sivoy White (Monferrato),87
650,Kerin Oâ€™Keefe,Sturm 2014 Sauvignon (Collio),92
662,Kerin Oâ€™Keefe,Palladino 2011 Ornato  (Barolo),90
664,Kerin Oâ€™Keefe,Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore),90
665,Kerin Oâ€™Keefe,Poderi Colla 2013 Costa Bruna  (Barbera d'Alba),90
677,Kerin Oâ€™Keefe,Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona),90
678,Kerin Oâ€™Keefe,Baracchi Riccardo 2012 Smeriglio Syrah (Cortona),90
682,Kerin Oâ€™Keefe,Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte),90
683,Kerin Oâ€™Keefe,Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale),90
686,Kerin Oâ€™Keefe,Comm. G. B. Burlotto 2011 Acclivi  (Barolo),90
692,Kerin Oâ€™Keefe,Poggio Argentiera 2012 Capatosta  (Morellino di Scansano),91
695,Kerin Oâ€™Keefe,Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico),91
725,Kerin Oâ€™Keefe,Paolo Manzone 2012 Meriame  (Barolo),85
739,Kerin Oâ€™Keefe,Marchesi di Barolo 2009 Riserva  (Barolo),85
744,Kerin Oâ€™Keefe,Punset 2011 Campo Quadro Riserva  (Barbaresco),85
769,,Paternoster 2007 Synthesi  (Aglianico del Vulture),87
777,,Scubla 2008 CrÃ tis Verduzzo (Colli Orientali del Friuli),92
780,,Castello d'Albola 2003  Vin Santo del Chianti Classico,92
781,,Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento),92
808,Kerin Oâ€™Keefe,Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico),90
814,Kerin Oâ€™Keefe,Valdicava 2012  Rosso di Montalcino,86
822,Kerin Oâ€™Keefe,Ridolfi 2012  Rosso di Montalcino,86
825,Kerin Oâ€™Keefe,Tenuta Poggio il Castellare 2009  Brunello di Montalcino,86
826,Kerin Oâ€™Keefe,Tenuta San Giorgio 2012 Ciampoleto  (Rosso di Montalcino),86
833,Kerin Oâ€™Keefe,Dosio 2012  Nebbiolo d'Alba,86
844,Kerin Oâ€™Keefe,Cottanera 2015 Bianco  (Etna),90
845,Kerin Oâ€™Keefe,CVA CanicattÃ¬ 2015 Aquilae Bio Grillo (Terre Siciliane),90
856,Kerin Oâ€™Keefe,Fattoria La Rivolta 2015 Taburno Fiano (Sannio),90
861,Kerin Oâ€™Keefe,Graci 2015 Rosso  (Etna),90
862,Kerin Oâ€™Keefe,Tornatore 2015 Rosato (Etna),90
865,Kerin Oâ€™Keefe,Baglio del Cristo di Campobello 2015 Laluci White (Sicilia),90
877,,Ceralti 2008 Alfeo  (Bolgheri Superiore),90
883,,I Luoghi 2008 Campo al Fico  (Bolgheri Superiore),90
894,,Jacopo Biondi-Santi 2008 Castello di MontepÃ²  (Morellino di Scansano),90
895,,Le Buche 2006 Giuseppe Olivi Memento Red (Toscana),90
898,,Marsiliana 2005 Red (Toscana),90
899,,Mazzei 2009 Fonterutoli  (Chianti Classico),90
904,Kerin Oâ€™Keefe,Boffa 2013 PajÃ¨  (Barbaresco),87
908,Kerin Oâ€™Keefe,Cascina Bruciata 2013  Barbaresco,87
909,Kerin Oâ€™Keefe,Castello di Neive 2013  Barbaresco,87
917,Kerin Oâ€™Keefe,Deltetto 2012 Bussia  (Barolo),87
918,Kerin Oâ€™Keefe,Diego Conterno 2012 Ginestra  (Barolo),87
928,Kerin Oâ€™Keefe,Battaglio 2013  Barbaresco,87
931,Kerin Oâ€™Keefe,Borgogno F.lli Serio e Battista 2012  Barolo,87
949,Kerin Oâ€™Keefe,Travaglini 2014 Nebbiolo (Coste della Sesia),87
955,Kerin Oâ€™Keefe,Bersano 2012 Nirvasco  (Barolo),87
956,Kerin Oâ€™Keefe,Cantine di Marzo NV Anni Venti Metodo Classico  (Greco di Tufo),87
964,,Fabiano 2006 Argillaia  (Lugana),85
965,,Vinosia 2006 Vecchie Vigne  (Primitivo di Manduria),85
968,,Tommasi 2006 Chiaretto  (Bardolino Classico),85
975,,Feudo Montoni 2008 P Pinot Noir (Sicilia),85
980,,Montresor 2003 Capitel della Crosara  (Amarone della Valpolicella Classico),85
982,,Bellenda 2005 Col di Luna Cabernet Sauvignon (Piave),85
995,,Benanti 2006 EdÃ¨lmio White (Sicilia),88
996,,Caruso & Minini 2006 Terre di Giumara Syrah (Sicilia),88
1001,,Benanti 2005 Il Monovitigno  (Etna),88
1012,Kerin Oâ€™Keefe,Antichi Vinai 1877 2013 Pietralava Red (Etna),88
1013,Kerin Oâ€™Keefe,Baglio di Pianetto 2007 Cembali Nero d'Avola (Sicilia),88
1016,Kerin Oâ€™Keefe,Casa di Grazia 2011 Gradiva Collectio Nero d'Avola (Sicilia),88
1017,Kerin Oâ€™Keefe,Casa di Grazia 2013 Zahara Grillo (Sicilia),88
1022,Kerin Oâ€™Keefe,Cusumano 2013 Cubia Tenuta Ficuzza Insolia (Sicilia),88
1035,Kerin Oâ€™Keefe,Viticultori Associati Canicatti 2012 Aquilae Nero d'Avola (Terre Siciliane),88
1036,Kerin Oâ€™Keefe,Vivera 2010 Salisire Bianco  (Etna),88
1044,,Tenuta Luisa 2007 Rive Alte Pinot Grigio (Isonzo del Friuli),85
1046,,I Clivi 2004 Bianco degli Arzillari White (Colli Orientali del Friuli),85
1054,,Vinai dell'Abbate 2006 Ribolla Gialla (Colli Orientali del Friuli),85
1059,,Calatrasi 2006 La Piazza Pinot Grigio (Delle Venezie),85
1062,,Colutta 2007 Friulano (Colli Orientali del Friuli),85
1064,,Principe di Corleone 2004 EvoÃ¨ Red (Sicilia),85
1071,Kerin Oâ€™Keefe,Mauro Veglio 2013 Castelletto  (Barolo),94
1077,Kerin Oâ€™Keefe,Ascheri 2013 Ascheri  (Barolo),94
1105,Kerin Oâ€™Keefe,Nada Fiorenzo 2011 Nebbiolo (Langhe),90
1109,Kerin Oâ€™Keefe,Carpineto 2006 Sant'Ercolano  (Vino Nobile di Montepulciano),90
1114,Kerin Oâ€™Keefe,Citille di Sopra 2012  Rosso di Montalcino,90
1118,Kerin Oâ€™Keefe,Dei 2012  Rosso di Montepulciano,90
1137,Kerin Oâ€™Keefe,Cantine Grasso 2014 Nero d'Avola (Terre Siciliane),84
1138,Kerin Oâ€™Keefe,Grifalco 2014 FrÃ  Rosato (Basilicata),84
1146,Kerin Oâ€™Keefe,Nugnes 2014 Rosato (Campania),83
1148,Kerin Oâ€™Keefe,Cantine Grasso 2013 Caporosso Nero d'Avola (Sicilia),83
1161,,Bisol NV Desiderio Jeio Brut  (Prosecco del Veneto),86
1162,,Carmina NV Extra Dry  (Prosecco di Conegliano),86
1163,,CarpenÃ¨ Malvolti NV CuvÃ©e Oro Dry  (Prosecco di Conegliano),86
1164,,Col Saliz NV Servo Suo Dry Vendemmia Tardiva  (Prosecco di Valdobbiadene),86
1167,,Zonin NV Special CuvÃ©e Brut  (Prosecco del Veneto),86
1169,,Toffoli 2007 Millesimato Extra Brut  (Prosecco del Veneto),86
1176,,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),86
1181,Kerin Oâ€™Keefe,Bel Colle 2013 Montersino  (Barbaresco),88
1183,Kerin Oâ€™Keefe,Boasso 2012 Margheria  (Barolo),88
1184,Kerin Oâ€™Keefe,Broccardo 2012 I Tre Pais  (Barolo),88
1197,Kerin Oâ€™Keefe,Battaglio 2013 Serragrilli  (Barbaresco),87
1205,Kerin Oâ€™Keefe,Cascina Chicco 2012 Rocche di Castelletto  (Barolo),87
1207,Kerin Oâ€™Keefe,Poderi Colla 2013 Bussia Dardi Le Rose  (Barolo),93
1217,Kerin Oâ€™Keefe,Bava 2014 Piano Alto Barbera,93
1218,Kerin Oâ€™Keefe,Bucci 2014 Villa Bucci Riserva  (Verdicchio dei Castelli di Jesi Classico),93
1237,,Agricoltori del Chianti Geografico 2007 Geografico  (Chianti Classico),88
1239,,Castellare di Castellina 2005 Riserva  (Chianti Classico),88
1250,,Lamole di Lamole 2005 Riserva  (Chianti Classico),88
1258,,Caparzo 2004 Vigna La Casa  (Brunello di Montalcino),88
1260,,Firriato 2010 Santagostino Baglio SorÃ¬a White (Sicilia),85
1261,,Fondo Antico 2009 I Versi Red (Sicilia),85
1268,,Cusumano 2010 Insolia (Sicilia),85
1272,,Maggiovini 2008 Pithoi Nero d'Avola (Sicilia),84
1274,,Masseria del Feudo Grottarossa 2009 Haermosa Chardonnay (Sicilia),84
1278,,Resonata 2010 Nero d'Avola (Sicilia),84
1283,,Calatrasi 2010 Terrale Oro Nero d'Avola (Sicilia),84
1286,Kerin Oâ€™Keefe,Feudi di San Gregorio 2014  Greco di Tufo,89
1288,Kerin Oâ€™Keefe,Griesbauerhof 2013 St. Magdalener Classico Red (Alto Adige),89
1290,Kerin Oâ€™Keefe,Cantina Produttori San Michele Appiano 2011 Sanct Valentin Pinot Nero (Alto Adige),89
1291,Kerin Oâ€™Keefe,Cantina Terlano 2013 Pinot Nero (Alto Adige),89
1292,Kerin Oâ€™Keefe,Cembra 2013 Sauvignon (Trentino),89
1297,Kerin Oâ€™Keefe,Cave du Vin Blanc de Morgex et de la Salle 2013 Tradizionale Blanc de Morgex et de La Salle PriÃ© Blanc (Valle d'Aosta),89
1299,Kerin Oâ€™Keefe,Colterenzio 2011 Cornell Villa Nigra Pinot Nero (Alto Adige),89
1312,Kerin Oâ€™Keefe,Tenuta Peter SÃ¶lva & SÃ¶hne 2013 I Vigneti Pinot Nero (Alto Adige),89
1314,Kerin Oâ€™Keefe,Tiefenbrunner 2011 Linticlarus Riserva Pinot Nero (Alto Adige),89
1315,Kerin Oâ€™Keefe,Tramin 2013 Pinot Nero (Alto Adige),89
1316,Kerin Oâ€™Keefe,Vesevo 2016  Greco di Tufo,90
1337,Kerin Oâ€™Keefe,Di Meo 2016  Greco di Tufo,90
1344,Kerin Oâ€™Keefe,Feudo Montoni 2016 della Timpa Grillo (Sicilia),90
1347,,Villa Mottura 2011 Le Pitre Rosato (Salento),86
1349,,Barraco 2010 Zibibbo (Sicilia),86
1350,,Capolino Perlingieri 2011 Preta Falanghina (Sannio),86
1361,,Stemmari 2011 Grillo (Sicilia),86
1363,,Torre Quarto 2009 Sangue Blu Negroamaro (Puglia),86
1369,,Banear 2006 MamÃ n White (Delle Venezie),86
1372,,Di Lenardo 2007 Vigneto Vigne dai Vieris Pinot Bianco (Venezia Giulia),86
1384,Kerin Oâ€™Keefe,Renato Keber 2012 Pinot Grigio (Collio),88
1387,Kerin Oâ€™Keefe,Tercic 2013 Ribolla Gialla (Collio),88
1391,Kerin Oâ€™Keefe,Abbazia di Novacella 2014 MÃ¼ller-Thurgau (Alto Adige Valle Isarco),88
1399,Kerin Oâ€™Keefe,Caldaro 2014 Sauvignon (Alto Adige),88
1402,Kerin Oâ€™Keefe,Colterenzio 2014 Puiten Pinot Grigio (Alto Adige),88
1403,Kerin Oâ€™Keefe,Manincor 2014 Tannenberg Sauvignon (Alto Adige Terlano),88
1404,Kerin Oâ€™Keefe,Mario Schiopetto 2013 Pinot Grigio (Collio),88
1407,Kerin Oâ€™Keefe,Nals Margreid 2014 Kerner (Alto Adige),88
1408,Kerin Oâ€™Keefe,Nals Margreid 2014 Sauvignon (Alto Adige),88
1452,Kerin Oâ€™Keefe,Le Ragnaie 2012 Fornace  (Brunello di Montalcino),94
1454,Kerin Oâ€™Keefe,Masi 2009 Campolongo di Torbe  (Amarone della Valpolicella Classico),94
1460,Kerin Oâ€™Keefe,Foradori 2013 Morei Teroldego (Vigneti delle Dolomiti),93
1462,Kerin Oâ€™Keefe,Le Ragnaie 2012  Brunello di Montalcino,93
1471,Kerin Oâ€™Keefe,Villa Poggio Salvi 2011 Riserva  (Brunello di Montalcino),93
1474,,Terre de Trinci 2003 Riserva  (Montefalco Rosso),86
1475,,Mosolo Gleni 2006 Pinot Grigio Pinot Grigio (Colli Orientali del Friuli),86
1488,,Casale Triocco 2003  Sagrantino di Montefalco,85
1489,,Castello di Monastero 2004 Sangiovese (Toscana),85
1491,,Lungarotti 2006 Pinot Grigio Pinot Grigio (Umbria),85
1498,,Ronco Blanchis 2006 Pinot Grigio (Collio),85
1500,,Planeta 2011 Cometa Fiano (Sicilia),92
1503,,Tasca d'Almerita 2009 Cabernet Sauvignon (Sicilia),92
1511,,Palari 2009  Faro,92
1513,,Planeta 2010 Chardonnay (Sicilia),92
1522,,Morgante 2009 Don Antonio Nero d'Avola (Sicilia),92
1526,Kerin Oâ€™Keefe,Hauner 2015 HierÃ  RosÃ© (Terre Siciliane),86
1544,Kerin Oâ€™Keefe,Orion Wines 2016 The Wanted Zin Blush Rosato (Puglia),85
1550,Kerin Oâ€™Keefe,Villa Cordevigo 2016 Heaven Scent  (Bardolino Chiaretto),85
1553,Kerin Oâ€™Keefe,Botromagno 2016 RosÃ© di Lulu Rosato (Murgia),85
1561,,Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),98
1563,,Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),97
1564,,Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore),97
1570,,Tenuta Argentiera 2008 Argentiera  (Bolgheri Superiore),96
1588,Kerin Oâ€™Keefe,Ceuso 2014 Scurati Nero d'Avola (Terre Siciliane),88
1603,Kerin Oâ€™Keefe,Feudo Antico 2010 Memorie Rosato (Sicilia),88
1609,Kerin Oâ€™Keefe,Caruso & Minini 2012 Cutaja Riserva Nero d'Avola (Delia Nivolelli),87
1642,Kerin Oâ€™Keefe,Il Chiosso 2010  Gattinara,85
1662,Kerin Oâ€™Keefe,Gru 2015  Montepulciano d'Abruzzo,85
1668,Kerin Oâ€™Keefe,Cantina Valle Tritana 2014 Capostrano  (Montepulciano d'Abruzzo),85
1676,,Sant Agnese dei F.lli Gigli 2006 Libatio Red (Toscana),90
1682,,Il Veltro 2005  Brunello di Montalcino,90
1685,,Massi di Mandorlaia 2007 Colpetroso  (Maremma),90
1687,,Pieve Vecchia 2007 Pieve dei Monaci  (Maremma),90
1696,,Petra 2003 Quercegobbe Merlot (Toscana),86
1698,,Terralsole 2005 Solista Syrah (Toscana),86
1699,,Tommasi 2005 Poggio al Tufo Rompicollo  (Maremma),86
1705,,Antonino Tringali-Casanuova 2005 Patrimonio Sangiovese (Toscana),86
1709,,Villa Vignamaggio 2003 Wine Obsession I Miti Red (Toscana),86
1713,,La Gerla 2003 Birba Sangiovese Grosso (Toscana),85
1732,Kerin Oâ€™Keefe,Lambardi 2010  Brunello di Montalcino,92
1736,Kerin Oâ€™Keefe,Tenuta San Giorgio 2010 Ugolforte  (Brunello di Montalcino),92
1738,Kerin Oâ€™Keefe,Lisini 2008 Riserva  (Brunello di Montalcino),92
1740,Kerin Oâ€™Keefe,Ornellaia 2012 Le Serre Nuove  (Bolgheri),92
1743,Kerin Oâ€™Keefe,Centolani 2010 Poggiotondo  (Brunello di Montalcino),92
1781,Kerin Oâ€™Keefe,Capanna 2009  Brunello di Montalcino,91
1793,Kerin Oâ€™Keefe,Bolsignano 2009 Grazia  (Brunello di Montalcino),91
1797,Kerin Oâ€™Keefe,Uccelliera 2008 Riserva  (Brunello di Montalcino),91
1798,Kerin Oâ€™Keefe,Villadoria 2004 Riserva  (Barolo),91
1859,Kerin Oâ€™Keefe,Feudi del Pisciotto 2012 Giambattista Valli  (Cerasuolo di Vittoria),83
1864,,Monteverro 2008 Tinata Red (Toscana),94
1865,,Mazzei 2008 Castello di Fonterutoli Siepi Red (Toscana),93
1869,,Castellare di Castellina 2009 Poggio ai Merli Merlot (Toscana),93
1875,,Terre del Marchesato 2008 Marchesale Syrah (Toscana),93
1876,,Argiano 2006 L'Orciaia  (Brunello di Montalcino),93
1877,,Campo al Noce 2008 Syrah (Toscana),93
1885,,Tenuta Monteti 2004 Monteti Red (Toscana),93
1892,,Villa Matilde 2003 Red (Falerno del Massico),89
1895,,Feudi di San Gregorio 2005  Greco di Tufo,89
1904,,Di Meo 2003 Alessandra  (Fiano di Avellino),89
1907,,Botromagno 2001 Gravisano Passito Malvasia Bianca (Murgia),89
1925,Kerin Oâ€™Keefe,Virna Borgogno 2009 Cannubi Boschis  (Barolo),87
1928,Kerin Oâ€™Keefe,Pico Maccario 2011 Tre Rovere  (Barbera d'Asti Superiore),87
1932,Kerin Oâ€™Keefe,Stroppiana 2008 Vigna San Giacomo  (Barolo),87
1960,,Tenute Soletta 2011 Chimera  (Vermentino di Sardegna),88
1961,,Tenute Soletta 2011 Kyanos White (Isola dei Nuraghi),88
1967,,Torre Quarto 2007 Regale  (Primitivo di Manduria),88
1972,,Cottanera 2011 Barbazzale  (Etna),88
1975,,Feudi di San Marzano 2010 Sud  (Primitivo di Manduria),88
1977,,Leone de Castris 2010 Elo Veni Negroamaro (Salento),88
1978,,Mastroberardino 2011  Greco di Tufo,88
1981,,Planeta 2010 Plumbago Nero d'Avola (Sicilia),88
1983,,Principi di Spadafora 2007 Schietto Syrah (Sicilia),88
1997,Kerin Oâ€™Keefe,Vino dei Fratelli 2013 Nero d'Avola (Terre Siciliane),84
